split,gate_group,rows,closed_events,censored_open,observed_closure_rate,median_closed_hours_observed,km_median_hours,unresolved_probability_7d,rmst_7d_hours,unresolved_probability_30d,rmst_30d_hours,unresolved_probability_90d,rmst_90d_hours,rmst_7d_days,rmst_30d_days,rmst_90d_days,km_median_days
repository_disjoint,all,3482,3131,351,0.8991958644457209,1.0330555555555556,2.168888888888889,0.20307386062671443,45.758995109516114,0.11389696541407898,123.22516863750717,0.05428438209481778,232.07360673783424,1.9066247962298382,5.134382026562799,9.669733614076426,0.09037037037037038
repository_disjoint,accepted,1089,1033,56,0.9485766758494031,0.058888888888888886,0.06944444444444445,0.0766408883956219,19.90482985421661,0.04639383769802021,53.05674735196611,0.027175057115989776,107.56891827788313,0.8293679105923588,2.2106978063319214,4.482038261578464,0.002893518518518519
repository_disjoint,routed,2393,2098,295,0.8767237776849144,3.9540277777777777,8.971111111111112,0.26055586779734047,57.52635887132954,0.1445351743261639,155.25339475063123,0.07031508973406046,291.03538675049487,2.396931619638731,6.468891447942968,12.126474447937285,0.37379629629629635
temporal,all,6720,6057,663,0.9013392857142857,0.010277777777777778,0.018055555555555554,0.09092133429915945,22.740786278336127,0.06613107107893272,61.154722344947594,0.06613107107893272,156.3834646986107,0.9475327615973387,2.548113431039483,6.5159776957754465,0.0007523148148148147
temporal,accepted,5657,5284,373,0.9340639915149372,0.006666666666666667,0.008055555555555555,0.05929733363023303,15.448013326970889,0.04516474783842139,41.287191828380685,0.04516474783842139,106.3244287157075,0.6436672219571203,1.720299659515862,4.430184529821146,0.0003356481481481481
temporal,routed,1063,773,290,0.7271872060206962,4.654722222222222,19.343888888888888,0.25983599250162503,61.6241332433394,0.1819490001092449,168.6355271418966,0.1819490001092449,430.64208729920927,2.567672218472475,7.026480297579025,17.94342030413372,0.8059953703703703
