split,definition,quantile,n,auc,avg_precision,base_high_rate,accept_rate,accepted_high_rate,high_recall_abstained,mean_workload_accepted,mean_workload_abstained,workload_share_abstained
repository_disjoint,aggregate_main,0.75,3482,0.8101063942662217,0.7523523937464407,0.4646754738655945,0.1777713957495692,0.0823909531502423,0.9684796044499382,0.9466882067851372,7.87635347537548,0.9746715076071922
repository_disjoint,aggregate_main,0.8,3482,0.7644283975055994,0.5406955935065365,0.3322802986789201,0.3127512923607122,0.078971533516988,0.9256698357821952,1.37465564738292,9.042624320936063,0.935295643153527
repository_disjoint,aggregate_main,0.9,3482,0.7453462989776666,0.3227981016381033,0.1843767949454336,0.6542217116599656,0.1040386303775241,0.6308411214953271,3.874451273046532,11.885382059800664,0.6185165975103735
repository_disjoint,broad_with_related,0.75,3482,0.807628731827194,0.6877665599747756,0.4218839747271683,0.2461229178632969,0.073512252042007,0.9571136827773996,1.814325862265861,12.25053695214632,0.9538783665294394
repository_disjoint,broad_with_related,0.8,3482,0.7863186629826847,0.5792063592680148,0.3463526708788053,0.3653072946582424,0.0762578616352201,0.9195688225538972,2.3876934358500295,13.880267290925202,0.9099104860686904
repository_disjoint,broad_with_related,0.9,3482,0.754557869748792,0.3289990269475606,0.1840896036760482,0.6826536473291211,0.10980227177114,0.592823712948518,6.115287605887855,17.35429694493258,0.5688239440053118
repository_disjoint,communication_review,0.75,3482,0.7974267013958458,0.734990850840847,0.4451464675473865,0.2395175186674325,0.1091127098321343,0.9412903225806452,0.6882494004796164,5.219788519637462,0.9601278132814672
repository_disjoint,communication_review,0.8,3482,0.7689573546952541,0.5684811266358866,0.3388856978747846,0.3819643882825962,0.0977443609022556,0.8898305084745762,0.9203007518796992,6.120817843866171,0.9149763823284246
repository_disjoint,communication_review,0.9,3482,0.7583398750025336,0.3597893464638071,0.184663986214819,0.6194715680643308,0.0876216968011126,0.7060653188180405,1.8998609179415855,7.7720754716981135,0.7153375937760489
repository_disjoint,followup_revision,0.75,3482,0.7855779458969921,0.7088345483238815,0.4388282596209075,0.0080413555427915,0.0714285714285714,0.9986910994764396,5.937981759703611,23.66307853910661,0.9979698844955908
repository_disjoint,followup_revision,0.8,3482,0.7600363920295016,0.5841922400683985,0.3515221137277426,0.2461229178632969,0.0921820303383897,0.9354575163398692,3.324089673726194,30.114206443033364,0.965216169140908
repository_disjoint,followup_revision,0.9,3482,0.7123938248742377,0.3080000760416098,0.1800689259046525,0.6232050545663412,0.104147465437788,0.6395534290271132,13.152737639103684,40.6685183586059,0.651502434538869
repository_disjoint,human_review,0.9,3482,0.7447419678517324,0.3967430438809429,0.2130959218839747,0.5763928776565193,0.1096163428001993,0.7035040431266847,0.8694569008470354,3.808813559322034,0.7630042102403911
temporal,aggregate_main,0.75,6720,0.9094736804286114,0.5927767362166076,0.1805059523809523,0.784077380952381,0.0713607895236287,0.6900247320692497,1.190168912507117,10.8118538938663,0.7144223325288037
temporal,aggregate_main,0.8,6720,0.8995792989798805,0.4932001977440957,0.1415178571428571,0.8418154761904761,0.0740675269577514,0.5594111461619348,1.692593247304225,11.650047036688616,0.563960107473018
temporal,aggregate_main,0.9,6720,0.8836516208253579,0.2708715958815315,0.0663690476190476,1.0,0.0663690476190476,0.0,3.267708333333333,0.0,0.0
temporal,broad_with_related,0.75,6720,0.9132137338187172,0.6114428694020919,0.1730654761904762,0.7962797619047619,0.0641001681928611,0.705073086844368,1.836579290925073,16.587299901407278,0.6979446795322513
temporal,broad_with_related,0.8,6720,0.9074404553043792,0.5283603832905951,0.1410714285714285,0.8401785714285714,0.0687212185618136,0.5907172995780591,2.481496239865023,17.248623445520217,0.5693778636029765
temporal,broad_with_related,0.9,6720,0.8856766597032326,0.271159485131607,0.0651785714285714,1.0,0.0651785714285714,0.0,4.841599605768844,0.0,0.0
temporal,communication_review,0.75,6720,0.9203132019125668,0.6300957092682566,0.1776785714285714,0.8011904761904762,0.0702080237741456,0.6834170854271356,0.8270802377414561,7.1803892215568865,0.682970240637904
temporal,communication_review,0.8,6720,0.9104584953460584,0.5177483682177699,0.1459821428571428,0.8421130952380952,0.0733345113977734,0.5769622833843018,1.0257996112387349,7.767200754005655,0.5867150790260572
temporal,communication_review,0.9,6720,0.8843690661459556,0.3137087187986411,0.0785714285714285,0.9907738095238096,0.0764493841994592,0.0359848484848484,2.0389005707419647,7.596774193548387,0.0335326783425886
temporal,followup_revision,0.75,6720,0.912173068947008,0.6513350850130702,0.1802083333333333,0.7827380952380952,0.0625475285171102,0.7283236994219653,2.9353981365416355,38.24613366613536,0.7833853561246885
temporal,followup_revision,0.8,6720,0.9004034655255361,0.5555728080776344,0.1441964285714285,0.8315476190476191,0.0680028632784538,0.6078431372549019,4.746237652995421,39.53849235497192,0.6279160538119598
temporal,followup_revision,0.9,6720,0.8693674468676205,0.266677935956422,0.0684523809523809,1.0,0.0684523809523809,0.0,10.607075796245034,0.0,0.0
temporal,human_review,0.8,6720,0.8881869460331411,0.4902352767227415,0.1544642857142857,0.8275297619047619,0.0812803452616435,0.5645472061657033,0.4713181082539112,3.711820534943917,0.6214069045211613
temporal,human_review,0.9,6720,0.8835527318777119,0.3351821163823716,0.0872023809523809,0.9769345238095238,0.0801218583396801,0.1023890784982935,0.938156892612338,4.929032258064516,0.1103567817420193
