split,subgroup_type,subgroup_value,rows,accepted_count,high_workload_rate,acceptance_rate,accepted_high_workload_rate,risk_over_budget,risk_flag_note,workload_share_abstained,auc
repository_disjoint,repo_star_bucket,>1000,1214,159,0.4695222405271829,0.1309719934102141,0.1635220125786163,True,enough accepted rows,0.967028309883031,0.7004767353165522
repository_disjoint,initial_churn_bucket,251-1000,291,68,0.3883161512027491,0.2336769759450171,0.1323529411764706,True,enough accepted rows,0.912889935256033,0.7327234761857413
repository_disjoint,repo_language,Go,222,58,0.5675675675675675,0.2612612612612612,0.3448275862068966,True,enough accepted rows,0.8874015748031496,0.675760582010582
repository_disjoint,feature_task_type,test,135,51,0.3259259259259259,0.3777777777777777,0.1176470588235294,True,enough accepted rows,0.897196261682243,0.7337662337662336
repository_disjoint,agent,Devin,572,2,0.5402097902097902,0.0034965034965034,1.0,False,low accepted rows,0.9968594125254018,0.5152706510637775
repository_disjoint,repo_language,JavaScript,232,1,0.4698275862068966,0.0043103448275862,0.0,False,low accepted rows,1.0,0.5498247184306706
repository_disjoint,initial_churn_bucket,0,972,6,0.5390946502057613,0.0061728395061728,0.8333333333333334,False,low accepted rows,0.9942619542619544,0.4871225804253
repository_disjoint,agent,Copilot,982,7,0.5498981670061099,0.0071283095723014,0.8571428571428571,False,low accepted rows,0.991795288383428,0.4931121166415284
repository_disjoint,repo_language,Zig,132,2,0.3106060606060606,0.0151515151515151,0.0,False,low accepted rows,0.9961290322580644,0.7451085499865988
repository_disjoint,agent,Cursor,261,12,0.3946360153256705,0.0459770114942528,0.5,False,low accepted rows,0.9490035169988276,0.6343861373970751
temporal,agent,Copilot,963,278,0.4662512980269989,0.288681204569055,0.4568345323741007,True,enough accepted rows,0.7260310658810927,0.5336848855649823
temporal,initial_churn_bucket,0,951,277,0.4710830704521556,0.2912723449001052,0.4765342960288808,True,enough accepted rows,0.7185687516730614,0.5186470462936665
temporal,agent,Devin,384,123,0.5208333333333334,0.3203125,0.3495934959349593,True,enough accepted rows,0.756078431372549,0.6070923913043478
temporal,repo_language,Rust,148,64,0.3175675675675675,0.4324324324324324,0.203125,True,enough accepted rows,0.6851025869759143,0.6911733726564147
temporal,repo_language,TypeScript,740,335,0.4391891891891892,0.4527027027027027,0.3074626865671642,True,enough accepted rows,0.6859047309380588,0.6499944392956442
temporal,repo_language,JavaScript,143,79,0.2377622377622377,0.5524475524475524,0.2784810126582278,True,enough accepted rows,0.4228971962616822,0.5337290879654615
temporal,repo_star_bucket,>1000,1370,757,0.391970802919708,0.5525547445255474,0.3025099075297225,True,enough accepted rows,0.5983975963945919,0.6506870904786496
temporal,agent,Claude_Code,149,85,0.4697986577181208,0.5704697986577181,0.4117647058823529,True,enough accepted rows,0.5600706713780919,0.6309222423146473
temporal,repo_language,Java,110,82,0.4909090909090909,0.7454545454545455,0.4512195121951219,True,enough accepted rows,0.3530364372469635,0.6134259259259259
temporal,feature_task_type,fix,1422,1136,0.1884669479606188,0.7988748241912799,0.1223591549295774,True,enough accepted rows,0.4489283322170127,0.8335866163118549
temporal,agent,Cursor,327,274,0.3333333333333333,0.8379204892966361,0.3321167883211678,True,enough accepted rows,0.1960595867371456,0.4545492803636057
temporal,feature_task_type,docs,493,451,0.178498985801217,0.9148073022312372,0.1662971175166297,True,enough accepted rows,0.2064270152505446,0.7885802469135803
temporal,repo_language,HTML,134,130,0.1343283582089552,0.9701492537313432,0.1307692307692307,True,enough accepted rows,0.0426008968609865,0.7432950191570881
