heldout_agent,selector,setting,n,auc,avg_precision,base_high_rate,accept_rate,accepted_high_rate,high_recall_abstained,abstention_precision,mean_workload_accepted,mean_workload_abstained,workload_share_abstained
Claude_Code,calibration_risk_budget,0.1,459,0.6423179565383148,0.6121568567521154,0.4684095860566449,0.7167755991285403,0.4103343465045592,0.3720930232558139,0.6153846153846154,9.01823708206687,15.9,0.4106078665077473
Copilot,calibration_risk_budget,0.1,4970,0.5068777298545619,0.5689609392741088,0.575251509054326,0.8416498993963782,0.579010279703562,0.1528506470793983,0.5552731893265566,13.238106622041595,13.316391359593393,0.1591374990509452
Cursor,calibration_risk_budget,0.1,1541,0.5739009609868043,0.4582919737110454,0.3770279039584685,0.9474367293964958,0.3623287671232876,0.0895008605851979,0.6419753086419753,6.247260273972603,11.82716049382716,0.0950491120150808
Devin,calibration_risk_budget,0.1,4827,0.5718093290603207,0.7572655287431957,0.7081002693184172,0.63621296871763,0.6753500488440247,0.3932124049151551,0.765375854214123,8.271898404428525,10.794419134396357,0.4273186347445782
OpenAI_Codex,calibration_risk_budget,0.1,21799,0.4513429819978913,0.0158229533631389,0.0170650029817881,0.2768934354786916,0.0205434062292909,0.6666666666666666,0.0157330457400241,1.6744532803180914,1.017065279451881,0.6133363938941812
