split,selector,setting,n,auc,avg_precision,base_high_rate,accept_rate,accepted_high_rate,high_recall_abstained,abstention_precision,mean_workload_accepted,mean_workload_abstained,workload_share_abstained
temporal,fixed_acceptance,0.2,6720,0.8995792989798805,0.4932001977440957,0.1415178571428571,0.2586309523809524,0.003452243958573,0.9936908517350158,0.1896828582898434,0.0937859608745684,4.374949819349659,0.9925770754588096
temporal,fixed_acceptance,0.4,6720,0.8995792989798805,0.4932001977440957,0.1415178571428571,0.5056547619047619,0.0050029429075927,0.982124079915878,0.2811559301625527,0.1353737492642731,6.471703792895846,0.9790518693929596
temporal,fixed_acceptance,0.6,6720,0.8995792989798805,0.4932001977440957,0.1415178571428571,0.6955357142857143,0.0149764655541292,0.9263932702418508,0.4305962854349951,0.3951647411210954,9.82991202346041,0.9158887016712964
temporal,fixed_acceptance,0.8,6720,0.8995792989798805,0.4932001977440957,0.1415178571428571,0.8233630952380953,0.0663292969455991,0.6140904311251314,0.4919966301600674,1.5302729080065065,11.366470092670598,0.6144177785873673
temporal,calibration_risk_budget,0.05,6720,0.8995792989798805,0.4932001977440957,0.1415178571428571,0.7516369047619048,0.0352405464264502,0.8128286014721346,0.463151587777112,0.797465848346862,10.743559017375674,0.8165672389453071
temporal,calibration_risk_budget,0.1,6720,0.8995792989798805,0.4932001977440957,0.1415178571428571,0.8418154761904761,0.0740675269577514,0.5594111461619348,0.5004703668861712,1.692593247304225,11.650047036688616,0.563960107473018
temporal,calibration_risk_budget,0.15,6720,0.8995792989798805,0.4932001977440957,0.1415178571428571,0.9522321428571427,0.1212689482731676,0.1840168243953732,0.5451713395638629,2.78543522425379,12.881619937694705,0.1883054783915478
repository_disjoint,fixed_acceptance,0.2,3482,0.7644283975055994,0.5406955935065365,0.3322802986789201,0.1961516369902355,0.0409956076134699,0.975799481417459,0.4033583422650946,0.904831625183016,8.045016077170418,0.9732883817427386
repository_disjoint,fixed_acceptance,0.4,3482,0.7644283975055994,0.5406955935065365,0.3322802986789201,0.4465824238943136,0.1067524115755627,0.8565254969749352,0.5142708873897249,1.979421221864952,10.408925791385574,0.8669605809128631
repository_disjoint,fixed_acceptance,0.6,3482,0.7644283975055994,0.5406955935065365,0.3322802986789201,0.6435956346927053,0.2083891120035698,0.5963699222126189,0.5560032232070911,3.859437751004016,11.67365028203062,0.6261670124481328
repository_disjoint,fixed_acceptance,0.8,3482,0.7644283975055994,0.5406955935065365,0.3322802986789201,0.8061458931648477,0.2785892411827574,0.324114088159032,0.5555555555555556,5.441752760954756,11.645925925925926,0.3397735131396957
repository_disjoint,calibration_risk_budget,0.05,3482,0.7644283975055994,0.5406955935065365,0.3322802986789201,0.1358414704192992,0.0380549682875264,0.9844425237683664,0.3785310734463277,0.9069767441860463,7.546360917248255,0.981457468879668
repository_disjoint,calibration_risk_budget,0.1,3482,0.7644283975055994,0.5406955935065365,0.3322802986789201,0.3127512923607122,0.078971533516988,0.9256698357821952,0.4475553698286669,1.37465564738292,9.042624320936063,0.935295643153527
repository_disjoint,calibration_risk_budget,0.15,3482,0.7644283975055994,0.5406955935065365,0.3322802986789201,0.5060310166570936,0.1464245175936435,0.777009507346586,0.5226744186046511,2.713393870601589,10.671511627906977,0.7933523513139695
