split,strategy,flagged_groups,flagged_test_share,risk_budget,acceptance_rate,routed_rate,accepted_high_workload_rate,high_workload_recall_by_routing,routing_precision_for_high_workload,workload_share_routed,mean_workload_accepted,mean_workload_routed,forced_route_share,rows
temporal,global_gate,0,0.0,0.1,0.8418154761904761,0.15818452380952386,0.07406752695775146,0.5594111461619348,0.5004703668861712,0.563960107473018,1.692593247304225,11.650047036688617,0.0,
temporal,calibration_risk_flags,12,0.5305059523809523,0.1,0.4669642857142857,0.5330357142857143,0.009560229445506692,0.9684542586750788,0.25711892797319935,0.9624299831504167,0.26290630975143403,5.900055834729201,0.5305059523809523,6720.0
temporal,risk_or_low_support_flags,13,0.531547619047619,0.1,0.4660714285714286,0.5339285714285714,0.008939974457215836,0.9705573080967402,0.2572463768115942,0.9634318502664055,0.25638569604086847,5.896321070234114,0.531547619047619,6720.0
repository_disjoint,global_gate,0,0.0,0.1,0.31275129236071225,0.6872487076392877,0.07897153351698806,0.9256698357821953,0.44755536982866695,0.935295643153527,1.3746556473829201,9.042624320936063,0.0,
repository_disjoint,calibration_risk_flags,6,0.7886272257323378,0.1,0.08701895462377944,0.9129810453762206,0.0627062706270627,0.9835782195332757,0.35797420572507077,0.9860390733056709,1.066006600660066,7.176156023906889,0.7886272257323378,3482.0
repository_disjoint,risk_or_low_support_flags,15,0.9037909247558874,0.1,0.08156232050545663,0.9184376794945434,0.03873239436619718,0.9904926534140017,0.35834896810506567,0.992176694329184,0.6373239436619719,7.177923702313946,0.9037909247558874,3482.0
