split,case_type,n,share_of_split,accepted_rate,high_workload_rate,mean_gate_score,mean_workload,median_workload,top_agents,mean_outcome_review_count,mean_outcome_human_review_count,mean_outcome_request_changes_count,mean_outcome_inline_review_comment_count,mean_outcome_issue_comment_count,mean_outcome_followup_commit_count,mean_outcome_followup_detail_changed_files,mean_outcome_followup_detail_churn,mean_outcome_followup_detail_test_files,mean_outcome_related_issue_count
repository_disjoint,conservative_abstain_low_workload,1322,0.37966685812751294,0.0,0.0,0.6940722533349425,1.692889561270802,2.0,Copilot=441; OpenAI_Codex=423; Devin=263; Cursor=152; Claude_Code=43,0.24130105900151286,0.16111951588502268,0.0030257186081694403,0.01664145234493192,0.7488653555219364,0.6830559757942511,3.3880484114977305,811.0597579425114,0.5680786686838124,0.3086232980332829
repository_disjoint,false_accept_high_workload,86,0.02469844916714532,1.0,1.0,0.27066098815026307,11.523255813953488,9.0,OpenAI_Codex=72; Copilot=6; Cursor=6; Devin=2,1.7209302325581395,0.627906976744186,0.1511627906976744,1.755813953488372,1.7209302325581395,6.174418604651163,16.011627906976745,1136.7558139534883,2.802325581395349,0.11627906976744186
repository_disjoint,safe_accept_low_workload,1003,0.28805284319356694,1.0,0.0,0.22275718420515547,0.5044865403788634,0.0,OpenAI_Codex=994; Cursor=6; Claude_Code=2; Copilot=1,0.08773678963110668,0.05982053838484546,0.0,0.009970089730807577,0.19541375872382852,0.21136590229312063,0.905284147557328,65.57826520438684,0.1625124626121635,0.024925224327018942
repository_disjoint,useful_abstain_high_workload,1071,0.30758184951177486,0.0,1.0,0.7993572118033475,18.11484593837535,12.0,Copilot=534; Devin=307; Cursor=97; OpenAI_Codex=88; Claude_Code=45,3.8085901027077496,2.3706816059757236,0.22969187675070027,3.7824463118580764,3.6704014939309055,6.623716153127917,42.568627450980394,6438.672268907563,9.366946778711485,0.4827264239028945
temporal,conservative_abstain_low_workload,531,0.07901785714285714,0.0,0.0,0.8528108713577455,2.866290018832392,3.0,Copilot=363; Devin=104; Cursor=35; Claude_Code=29,0.4124293785310734,0.3107344632768362,0.009416195856873822,0.060263653483992465,1.0470809792843692,1.3370998116760828,9.578154425612052,4012.2881355932204,1.335216572504708,0.5009416195856874
temporal,false_accept_high_workload,419,0.06235119047619048,1.0,1.0,0.5482556930181027,17.317422434367543,12.0,Copilot=127; OpenAI_Codex=123; Cursor=91; Devin=43; Claude_Code=35,3.4105011933174225,1.7231503579952268,0.20286396181384247,3.656324582338902,3.2195704057279237,6.828162291169451,29.455847255369928,5859.3914081145585,6.684964200477327,0.3031026252983294
temporal,safe_accept_low_workload,5238,0.7794642857142857,1.0,0.0,0.17033480173422966,0.4427262313860252,0.0,OpenAI_Codex=4774; Cursor=183; Copilot=151; Devin=80; Claude_Code=50,0.05822833142420771,0.02787323405880107,0.000572737686139748,0.020809469263077512,0.17888507063764797,0.18423062237495227,1.1166475754104621,197.2258495609011,0.1561664757541046,0.030927835051546393
temporal,useful_abstain_high_workload,532,0.07916666666666666,0.0,1.0,0.8599271136348319,20.417293233082706,14.0,Copilot=322; Devin=157; Claude_Code=35; Cursor=18,4.434210526315789,2.3759398496240602,0.2819548872180451,5.093984962406015,4.2593984962406015,6.347744360902255,40.900375939849624,9079.186090225563,7.975563909774436,0.4924812030075188
