split,train_rows,calibration_rows,test_rows,risk_budget,high_workload_quantile,high_workload_threshold,score_threshold,calibrated_acceptance_target,calibrated_accepted_high_rate,test_auc,test_average_precision,test_acceptance_rate,test_accepted_high_rate,features
temporal,20157,6719,6720,0.1,0.8,2.0794415416798357,0.7691995051295595,0.8276529245423426,0.09998201762272972,0.8995792989798805,0.49320019774409574,0.8418154761904761,0.07406752695775146,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type"
repository_disjoint,25652,4462,3482,0.1,0.8,1.791759469228055,0.3569324379046899,0.315329448677723,0.09950248756218906,0.7644283975055994,0.5406955935065365,0.31275129236071225,0.07897153351698806,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type"
