split,gate_group,rows,closed_events,censored_open,observed_closure_rate,km_median_days,unresolved_probability_7d,unresolved_probability_30d,unresolved_probability_90d,rmst_30d_days
repository_disjoint,accepted,1089,1033,56,0.9485766758494032,0.0028935185185185,0.0766408883956219,0.0463938376980202,0.0271750571159897,2.210697806331922
repository_disjoint,all,3482,3131,351,0.8991958644457209,0.0903703703703703,0.2030738606267144,0.1138969654140789,0.0542843820948177,5.134382026562799
repository_disjoint,routed,2393,2098,295,0.8767237776849144,0.3737962962962963,0.2605558677973404,0.1445351743261639,0.0703150897340604,6.468891447942968
temporal,accepted,5657,5284,373,0.9340639915149372,0.0003356481481481,0.059297333630233,0.0451647478384213,0.0451647478384213,1.720299659515862
temporal,all,6720,6057,663,0.9013392857142856,0.0007523148148148,0.0909213342991594,0.0661310710789327,0.0661310710789327,2.548113431039483
temporal,routed,1063,773,290,0.7271872060206962,0.8059953703703703,0.259835992501625,0.1819490001092449,0.1819490001092449,7.026480297579025
