split,selector,risk_budget,bootstrap_unit,bootstrap_rounds,bootstrap_valid_rounds,test_rows,test_repositories,metric,point,ci_low,ci_high,features,high_workload_threshold,score_threshold,calibrated_acceptance_target,calibrated_accepted_high_rate
temporal,calibration_risk_budget,0.1,repo,500,500,6720,761,workload_share_abstained,0.563960107473018,0.5041081346637611,0.6251355981735653,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",2.0794415416798357,0.7691995051295595,0.8276529245423426,0.09998201762272972
repository_disjoint,calibration_risk_budget,0.1,repo,500,500,3482,562,auc,0.7644283975055994,0.7017182527415313,0.8143111691707162,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",1.791759469228055,0.3569324379046899,0.315329448677723,0.09950248756218906
repository_disjoint,calibration_risk_budget,0.1,repo,500,500,3482,562,average_precision,0.5406955935065365,0.47683761987263673,0.6127980721942674,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",1.791759469228055,0.3569324379046899,0.315329448677723,0.09950248756218906
repository_disjoint,calibration_risk_budget,0.1,repo,500,500,3482,562,brier,0.24617205867529793,0.2112205395842558,0.28536967726235796,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",1.791759469228055,0.3569324379046899,0.315329448677723,0.09950248756218906
repository_disjoint,calibration_risk_budget,0.1,repo,500,500,3482,562,high_workload_rate,0.33228029867892017,0.2542751393681975,0.40100554478865186,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",1.791759469228055,0.3569324379046899,0.315329448677723,0.09950248756218906
repository_disjoint,calibration_risk_budget,0.1,repo,500,500,3482,562,acceptance_rate,0.31275129236071225,0.22333768146233945,0.4174364084526169,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",1.791759469228055,0.3569324379046899,0.315329448677723,0.09950248756218906
repository_disjoint,calibration_risk_budget,0.1,repo,500,500,3482,562,accepted_high_workload_rate,0.07897153351698806,0.04915120954848236,0.12174496575272023,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",1.791759469228055,0.3569324379046899,0.315329448677723,0.09950248756218906
repository_disjoint,calibration_risk_budget,0.1,repo,500,500,3482,562,high_workload_recall_by_abstention,0.9256698357821953,0.8878796799516908,0.9533803497069067,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",1.791759469228055,0.3569324379046899,0.315329448677723,0.09950248756218906
repository_disjoint,calibration_risk_budget,0.1,repo,500,500,3482,562,abstention_precision_for_high_workload,0.44755536982866695,0.37125933478586504,0.5174687052589866,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",1.791759469228055,0.3569324379046899,0.315329448677723,0.09950248756218906
repository_disjoint,calibration_risk_budget,0.1,repo,500,500,3482,562,mean_workload_accepted,1.3746556473829201,0.9294648068434684,2.0250011452130097,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",1.791759469228055,0.3569324379046899,0.315329448677723,0.09950248756218906
repository_disjoint,calibration_risk_budget,0.1,repo,500,500,3482,562,mean_workload_abstained,9.042624320936063,7.293023728273697,10.71243786011692,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",1.791759469228055,0.3569324379046899,0.315329448677723,0.09950248756218906
repository_disjoint,calibration_risk_budget,0.1,repo,500,500,3482,562,workload_share_abstained,0.935295643153527,0.8990672175434767,0.9590570220758948,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",1.791759469228055,0.3569324379046899,0.315329448677723,0.09950248756218906
