split,train_rows,calibration_rows,test_rows,target,workload,high_workload_quantile,high_workload_threshold,test_auc,test_average_precision,test_brier,features,selector,selector_value,score_threshold,calibrated_acceptance_target,calibrated_accepted_high_rate,calibration_acceptance_rate,calibration_abstention_rate,calibration_high_workload_rate,calibration_accepted_high_workload_rate,calibration_high_workload_recall_by_abstention,calibration_abstention_precision_for_high_workload,calibration_mean_workload_accepted,calibration_mean_workload_abstained,calibration_workload_share_abstained,test_acceptance_rate,test_abstention_rate,test_high_workload_rate,test_accepted_high_workload_rate,test_high_workload_recall_by_abstention,test_abstention_precision_for_high_workload,test_mean_workload_accepted,test_mean_workload_abstained,test_workload_share_abstained,feature_set
temporal,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8995792989798805,0.49320019774409574,0.11898227426162053,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.7691995051295595,0.8276529245423426,0.09998201762272972,0.8276529245423426,0.1723470754576574,0.169816937044203,0.09998201762272972,0.5127081507449606,0.5051813471502591,2.3668404963136127,12.803972366148532,0.529743827932402,0.8418154761904761,0.1581845238095238,0.14151785714285714,0.07406752695775146,0.5594111461619348,0.5004703668861712,1.692593247304225,11.650047036688617,0.563960107473018,defensible
repository_disjoint,25652,4462,3482,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,1.791759469228055,0.7644283975055994,0.5406955935065365,0.24617205867529793,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.3569324379046899,0.315329448677723,0.09950248756218906,0.315329448677723,0.684670551322277,0.3922008068130883,0.09950248756218906,0.92,0.5270049099836334,1.6922530206112296,8.914238952536826,0.9195988383872493,0.31275129236071225,0.6872487076392878,0.33228029867892017,0.07897153351698806,0.9256698357821953,0.44755536982866695,1.3746556473829201,9.042624320936063,0.935295643153527,defensible
temporal,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.899540383998816,0.49319468751414675,0.11895222879862616,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,feature_changed_files,feature_additions,feature_deletions,feature_churn,feature_initial_commit_count,feature_initial_review_comment_count_api,feature_initial_issue_comment_count_api,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.7695609654209514,0.8278017562137223,0.09996404171161452,0.8278017562137223,0.1721982437862777,0.169816937044203,0.09996404171161452,0.5127081507449606,0.5056179775280899,2.366055375764114,12.816767502160761,0.5298152845760835,0.8419642857142857,0.15803571428571428,0.14151785714285714,0.07405443619653587,0.5594111461619348,0.5009416195856874,1.6926475786496995,11.659133709981168,0.5638690286442917,full_with_timing_sensitive
repository_disjoint,25652,4462,3482,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,1.791759469228055,0.7642919675467701,0.5404455184073302,0.24616049358285244,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,feature_changed_files,feature_additions,feature_deletions,feature_churn,feature_initial_commit_count,feature_initial_review_comment_count_api,feature_initial_issue_comment_count_api,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.35618634648625414,0.3155535634244733,0.09943181818181818,0.3155535634244733,0.6844464365755266,0.3922008068130883,0.09943181818181818,0.92,0.527177472167649,1.7080965909090908,8.909299279633268,0.9187884108867428,0.3116025272831706,0.6883974727168294,0.33228029867892017,0.0792626728110599,0.9256698357821953,0.44680851063829785,1.3788018433179723,9.027951606174385,0.9353388658367912,full_with_timing_sensitive
temporal,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8969536769553502,0.49198257745898494,0.12022045204871368,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.7699749065454428,0.8275040928709629,0.1,0.8275040928709629,0.17249590712903706,0.169816937044203,0.1,0.5127081507449606,0.5047454702329595,2.3670863309352517,12.793787748058671,0.5297795562542428,0.8431547619047619,0.1568452380952381,0.14151785714285714,0.07518531591951995,0.5520504731861199,0.4981024667931689,1.7093187433815744,11.64516129032258,0.5589507718930734,text_repo_task
repository_disjoint,25652,4462,3482,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,1.791759469228055,0.7624224681926748,0.5397692562847127,0.24702342771813643,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.3372309988453788,0.3086060062752129,0.09949164851125636,0.3086060062752129,0.691393993724787,0.3922008068130883,0.09949164851125636,0.9217142857142857,0.5228525121555916,1.6601307189542485,8.858346839546192,0.9228067805767542,0.30470993681792075,0.6952900631820793,0.33228029867892017,0.07917059377945335,0.9273984442523768,0.44320528707145807,1.3770028275212065,8.952912019826519,0.9368516597510373,text_repo_task
temporal,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8104070324747796,0.36173707826987944,0.19896381218424264,"feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files",calibration_risk_budget,0.1,0.5198916589348272,0.7511534454531924,0.09986130374479889,0.7511534454531924,0.24884655454680757,0.169816937044203,0.09986130374479889,0.558282208588957,0.38098086124401914,2.3297008123637806,9.707535885167465,0.5799063917967773,0.8114583333333333,0.18854166666666666,0.14151785714285714,0.08068952869979827,0.53732912723449,0.40331491712707185,1.7450944434256372,9.820836621941595,0.5666469329204427,first_commit_only
repository_disjoint,25652,4462,3482,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,1.791759469228055,0.5931866804211857,0.39779383466420043,0.26888271404182923,"feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files",calibration_risk_budget,0.1,1.1034904356998337e-24,0.00022411474675033618,0.0,0.00022411474675033618,0.9997758852532497,0.3922008068130883,0.0,1.0,0.3922887245012329,3.0,6.63774938354629,0.9998986965624367,0.0,1.0,0.33228029867892017,0.0,1.0,0.33228029867892017,0.0,6.644457208500862,1.0,first_commit_only
