baseline,selector,target_calibration_acceptance,calibration_acceptance_rate,test_acceptance_rate,test_accepted_high_workload_rate,test_high_workload_recall_by_abstention,test_workload_share_abstained,test_auc,test_average_precision
logistic_all_features,risk_target_threshold,0.315329448677723,0.315329448677723,0.31275129236071225,0.07897153351698806,0.9256698357821953,0.935295643153527,0.7644283975055994,0.5406955935065365
cost_sensitive_workload_logistic,equal_calibration_coverage,0.315329448677723,0.315329448677723,0.3095921883974727,0.07699443413729128,0.9282627484874676,0.9378457814661134,0.7652774602466521,0.5406958341530111
categorical_prior,equal_calibration_coverage,0.315329448677723,0.3422232182877633,0.39632395175186674,0.10652173913043478,0.8729472774416595,0.8807053941908713,0.7488237098168232,0.534004797586424
logistic_no_agent,equal_calibration_coverage,0.315329448677723,0.315329448677723,0.33917288914417004,0.12023708721422523,0.8772687986171133,0.8888312586445366,0.7257741099060417,0.5169513881756292
simple_text_threshold,equal_calibration_coverage,0.315329448677723,0.315329448677723,0.27053417576105687,0.2346072186836518,0.8089887640449438,0.8313018672199171,0.660309104933969,0.4977802141981341
selective_uncertainty_only,equal_calibration_coverage,0.315329448677723,0.315329448677723,0.2645031591039632,0.49077090119435396,0.6093344857389801,0.5948305670816044,0.37600784379327334,0.2755929748998343
