split,baseline,train_rows,calibration_rows,test_rows,target,workload,high_workload_quantile,high_workload_threshold,test_auc,test_average_precision,features,selector,selector_value,score_threshold,calibration_acceptance_rate,calibration_abstention_rate,calibration_high_workload_rate,calibration_accepted_high_workload_rate,calibration_high_workload_recall_by_abstention,calibration_abstention_precision_for_high_workload,calibration_mean_workload_accepted,calibration_mean_workload_abstained,calibration_workload_share_abstained,test_acceptance_rate,test_abstention_rate,test_high_workload_rate,test_accepted_high_workload_rate,test_high_workload_recall_by_abstention,test_abstention_precision_for_high_workload,test_mean_workload_accepted,test_mean_workload_abstained,test_workload_share_abstained,calibrated_acceptance_target,calibrated_accepted_high_rate
temporal,selective_uncertainty_only,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.7118906137247943,0.2792531665595363,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type;score=prediction_uncertainty_only",fixed_acceptance,0.8,0.5411559647606998,0.7999702336657241,0.20002976633427594,0.169816937044203,0.13767441860465116,0.3514460999123576,0.29836309523809523,3.5808372093023255,6.504464285714286,0.3123369895316017,0.8736607142857142,0.1263392857142857,0.14151785714285714,0.1146312382898995,0.29232386961093587,0.32744405182567726,2.6838698688468745,7.305064782096585,0.28243544788014024,,
temporal,selective_uncertainty_only,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.7118906137247943,0.2792531665595363,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type;score=prediction_uncertainty_only",calibration_risk_budget,0.05,-inf,0.0,1.0,0.169816937044203,0.0,1.0,0.169816937044203,0.0,4.165649650245572,1.0,0.0,1.0,0.14151785714285714,0.0,1.0,0.14151785714285714,0.0,3.267708333333333,1.0,0.0,0.0
temporal,selective_uncertainty_only,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.7118906137247943,0.2792531665595363,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type;score=prediction_uncertainty_only",calibration_risk_budget,0.1,0.33536037814525854,0.5908617353772883,0.4091382646227117,0.169816937044203,0.1,0.6520595968448729,0.270643870498363,2.56448362720403,6.477991997089851,0.6362499553395977,0.703125,0.296875,0.14151785714285714,0.08190476190476191,0.5930599369085173,0.28270676691729324,2.031111111111111,6.196491228070175,0.562958240357029,0.5908617353772883,0.1
temporal,selective_uncertainty_only,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.7118906137247943,0.2792531665595363,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type;score=prediction_uncertainty_only",calibration_risk_budget,0.15,0.6361209226648128,0.8605447239172496,0.1394552760827504,0.169816937044203,0.149948114839156,0.2401402278702892,0.29242262540021347,3.8223797993773783,6.283884738527214,0.21036835899817785,0.91875,0.08125,0.14151785714285714,0.12406867508908326,0.19453207150368035,0.33882783882783885,2.921768707482993,7.17948717948718,0.17851450430347465,0.8605447239172496,0.149948114839156
temporal,cost_sensitive_workload_logistic,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8992787331542333,0.4937788759842608,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type;positive_sample_weight=1+clipped_log_workload_q75",fixed_acceptance,0.2,0.09708682440657124,0.20002976633427594,0.7999702336657241,0.169816937044203,0.000744047619047619,0.9991235758106923,0.21209302325581394,0.10044642857142858,5.182139534883721,0.9951766765515023,0.25491071428571427,0.7450892857142857,0.14151785714285714,0.004086398131932283,0.9926393270241851,0.18853604953065708,0.1243432574430823,4.34311963251448,0.990300104740653,,
temporal,cost_sensitive_workload_logistic,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8992787331542333,0.4937788759842608,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type;positive_sample_weight=1+clipped_log_workload_q75",fixed_acceptance,0.4,0.12729205366120258,0.4000595326685519,0.5999404673314481,0.169816937044203,0.0033482142857142855,0.9921121822962313,0.28082361696849417,0.14694940476190477,6.845447779707269,0.9858873128729143,0.5011904761904762,0.4988095238095238,0.14151785714285714,0.005047505938242281,0.982124079915878,0.2786396181384248,0.14251781472684086,6.407816229116945,0.978141081105697,,
temporal,cost_sensitive_workload_logistic,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8992787331542333,0.4937788759842608,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type;positive_sample_weight=1+clipped_log_workload_q75",fixed_acceptance,0.6,0.28216099575497844,0.5999404673314481,0.4000595326685519,0.169816937044203,0.017613495410568097,0.9377738825591586,0.39806547619047616,0.4988836516993302,9.664434523809524,0.9281503447783057,0.6947916666666667,0.30520833333333336,0.14151785714285714,0.014992503748125937,0.9263932702418507,0.4295465626523647,0.39537374170057826,9.806435884934178,0.9159342410856597,,
temporal,cost_sensitive_workload_logistic,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8992787331542333,0.4937788759842608,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type;positive_sample_weight=1+clipped_log_workload_q75",fixed_acceptance,0.8,0.7417151285624575,0.7999702336657241,0.20002976633427594,0.169816937044203,0.08930232558139535,0.5793163891323401,0.49181547619047616,2.041302325581395,12.661458333333334,0.6079888527635857,0.8229166666666666,0.17708333333333334,0.14151785714285714,0.06491862567811935,0.6225026288117771,0.49747899159663866,1.5057866184448463,11.45546218487395,0.6207932965982057,,
temporal,cost_sensitive_workload_logistic,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8992787331542333,0.4937788759842608,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type;positive_sample_weight=1+clipped_log_workload_q75",calibration_risk_budget,0.05,0.5761776420251675,0.694150915314779,0.30584908468522104,0.169816937044203,0.04995711835334477,0.7957931638913234,0.4418491484184915,1.1224271012006861,11.072506082725061,0.8129622351638144,0.7523809523809524,0.24761904761904763,0.14151785714285714,0.035205696202531646,0.8128286014721346,0.4645432692307692,0.8010284810126582,10.762620192307692,0.8155653718293183,0.694150915314779,0.04995711835334477
temporal,cost_sensitive_workload_logistic,20157,6719,6720,outcome_downstream_workload_log,outcome_downstream_workload_raw,0.8,2.0794415416798357,0.8992787331542333,0.4937788759842608,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type;positive_sample_weight=1+clipped_log_workload_q75",calibration_risk_budget,0.1,0.7712575310178219,0.8280994195564816,0.17190058044351839,0.169816937044203,0.09992810927390366,0.5127081507449606,0.5064935064935064,2.3335729690869877,12.991341991341992,0.5361034692200507,0.8430059523809523,0.15699404761904762,0.14151785714285714,0.07413945278022947,0.5583596214511041,0.5033175355450237,1.6896734333627537,11.741232227488151,0.5640967257161073,0.8280994195564816,0.09992810927390366
