split,train_rows,calibration_rows,test_rows,target,workload,high_workload_quantile,high_workload_threshold,test_auc,test_average_precision,test_brier,features,selector,selector_value,score_threshold,calibrated_acceptance_target,calibrated_accepted_high_rate,calibration_acceptance_rate,calibration_abstention_rate,calibration_high_workload_rate,calibration_accepted_high_workload_rate,calibration_high_workload_recall_by_abstention,calibration_abstention_precision_for_high_workload,calibration_mean_workload_accepted,calibration_mean_workload_abstained,calibration_workload_share_abstained,test_acceptance_rate,test_abstention_rate,test_high_workload_rate,test_accepted_high_workload_rate,test_high_workload_recall_by_abstention,test_abstention_precision_for_high_workload,test_mean_workload_accepted,test_mean_workload_abstained,test_workload_share_abstained,workload_definition,workload_description
temporal,20157,6719,6720,sensitivity_communication_review_log,sensitivity_communication_review_raw,0.9,2.1972245773362196,0.8843690661459556,0.31370871879864115,0.13603847644915742,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.9521146173342111,0.9843726745051347,0.0999395222255821,0.9843726745051347,0.015627325494865306,0.10343801160887037,0.0999395222255821,0.04892086330935252,0.3238095238095238,2.59510130027215,9.266666666666667,0.05364724044770359,0.9907738095238096,0.009226190476190476,0.07857142857142857,0.07644938419945929,0.03598484848484849,0.3064516129032258,2.0389005707419647,7.596774193548387,0.033532678342588634,communication_review,"Reviews, request changes, inline review comments, and issue comments."
repository_disjoint,25652,4462,3482,sensitivity_communication_review_log,sensitivity_communication_review_raw,0.9,1.9459101490553132,0.7583398750025336,0.35978934646380717,0.2695697773873325,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.6966681156741402,0.6051098162259076,0.1,0.6051098162259076,0.39489018377409235,0.2223218287763335,0.1,0.7278225806451613,0.4097616345062429,2.1062962962962963,7.399545970488082,0.6962883845126836,0.6194715680643308,0.38052843193566915,0.18466398621481908,0.08762169680111266,0.7060653188180405,0.34264150943396227,1.8998609179415855,7.7720754716981135,0.7153375937760489,communication_review,"Reviews, request changes, inline review comments, and issue comments."
temporal,20157,6719,6720,sensitivity_human_review_log,sensitivity_human_review_raw,0.8,0.6931471805599453,0.8881869460331411,0.4902352767227415,0.13390637610128775,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.7099181575299701,0.7831522547998214,0.0999619916381604,0.7831522547998214,0.2168477452001786,0.18916505432356007,0.0999619916381604,0.5861526357199056,0.511324639670556,0.5891296085138731,4.048043925875086,0.655478995332296,0.8275297619047619,0.1724702380952381,0.15446428571428572,0.08128034526164359,0.5645472061657033,0.5056082830025884,0.4713181082539112,3.711820534943917,0.6214069045211613,human_review,"Human reviews, request changes, and inline review comments."
temporal,20157,6719,6720,sensitivity_human_review_log,sensitivity_human_review_raw,0.9,1.3862943611198906,0.8835527318777119,0.33518211638237166,0.1349587561215814,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.9104360828122866,0.963089745497842,0.09998454643795394,0.963089745497842,0.03691025450215806,0.10924244679267749,0.09998454643795394,0.11852861035422343,0.35080645161290325,1.211095657549065,4.681451612903226,0.129028673038453,0.9769345238095238,0.023065476190476192,0.08720238095238095,0.08012185833968012,0.10238907849829351,0.3870967741935484,0.9381568926123381,4.929032258064516,0.11035678174201935,human_review,"Human reviews, request changes, and inline review comments."
repository_disjoint,25652,4462,3482,sensitivity_human_review_log,sensitivity_human_review_raw,0.9,1.0986122886681098,0.7447419678517324,0.39674304388094295,0.2798586261103472,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.6511358406402789,0.549977588525325,0.09983700081499593,0.549977588525325,0.45002241147467503,0.21358135365307038,0.09983700081499593,0.7429171038824763,0.35258964143426297,0.6487367563162184,3.272410358565737,0.8049736616440034,0.5763928776565193,0.42360712234348075,0.21309592188397472,0.1096163428001993,0.7035040431266847,0.3538983050847458,0.8694569008470354,3.808813559322034,0.7630042102403911,human_review,"Human reviews, request changes, and inline review comments."
temporal,20157,6719,6720,sensitivity_followup_revision_log,sensitivity_followup_revision_raw,0.75,2.380162841128271,0.9121730689470081,0.6513350850130702,0.11080164735773866,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.6633948073654204,0.7426700401845513,0.1,0.7426700401845513,0.2573299598154487,0.2260753088257181,0.1,0.6714944042132982,0.5899363794100636,5.495366675248755,35.97291210481684,0.6940172728973113,0.7827380952380952,0.21726190476190477,0.18020833333333333,0.06254752851711026,0.7283236994219653,0.6041095890410959,2.9353981365416355,38.24613366613536,0.7833853561246885,followup_revision,"Later commits, changed files, test-like files, and log later churn."
repository_disjoint,25652,4462,3482,sensitivity_followup_revision_log,sensitivity_followup_revision_raw,0.75,1.9736954763373116,0.7855779458969921,0.7088345483238815,0.2208996882331617,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.07284652668985446,0.006723442402510085,0.1,0.006723442402510085,0.9932765575974899,0.4520394441954281,0.1,0.9985126425384234,0.45442238267148016,2.9662682824371505,22.64427253399115,0.9991140919616327,0.0080413555427915,0.9919586444572085,0.43882825962090755,0.07142857142857142,0.9986910994764397,0.4418066010422698,5.937981759703611,23.66307853910661,0.9979698844955907,followup_revision,"Later commits, changed files, test-like files, and log later churn."
temporal,20157,6719,6720,sensitivity_followup_revision_log,sensitivity_followup_revision_raw,0.8,2.646109104427236,0.9004034655255361,0.5555728080776344,0.12179442116008164,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.7435270360553147,0.8086024706057449,0.09994478188845941,0.8086024706057449,0.19139752939425508,0.18574192588182764,0.09994478188845941,0.5649038461538461,0.5482115085536547,7.233980018111358,39.12661842948726,0.5614524395681423,0.8315476190476191,0.16845238095238096,0.14419642857142856,0.06800286327845383,0.6078431372549019,0.5203180212014135,4.746237652995421,39.53849235497192,0.6279160538119598,followup_revision,"Later commits, changed files, test-like files, and log later churn."
repository_disjoint,25652,4462,3482,sensitivity_followup_revision_log,sensitivity_followup_revision_raw,0.8,2.3440847313674027,0.7600363920295016,0.5841922400683985,0.24919305903074027,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.3271185363272064,0.21335723890632002,0.09978991596638656,0.21335723890632002,0.7866427610936799,0.3594800537875392,0.09978991596638656,0.9407730673316709,0.42991452991452994,5.663246787025296,27.081764381160628,0.9463265643763827,0.24612291786329696,0.753877082136703,0.35152211372774267,0.09218203033838973,0.9354575163398693,0.4361904761904762,3.324089673726194,30.114206443033364,0.9652161691409079,followup_revision,"Later commits, changed files, test-like files, and log later churn."
temporal,20157,6719,6720,sensitivity_followup_revision_log,sensitivity_followup_revision_raw,0.9,3.414047364717985,0.8693674468676205,0.266677935956422,0.14196032219227703,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.9999999999225417,1.0,0.08453638934365233,1.0,0.0,0.08453638934365233,0.08453638934365233,0.0,0.0,13.338152215913025,0.0,0.0,1.0,0.0,0.06845238095238096,0.06845238095238096,0.0,0.0,10.607075796245034,0.0,0.0,followup_revision,"Later commits, changed files, test-like files, and log later churn."
repository_disjoint,25652,4462,3482,sensitivity_followup_revision_log,sensitivity_followup_revision_raw,0.9,3.09531816680744,0.7123938248742377,0.30800007604160984,0.2938811355763295,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.6942781651517894,0.5905423576871358,0.09981024667931689,0.5905423576871358,0.4094576423128642,0.18960107575078441,0.09981024667931689,0.6891252955082743,0.3191023535851122,10.37678312228507,40.014001309195805,0.7277923544784565,0.6232050545663412,0.3767949454336588,0.1800689259046525,0.10414746543778802,0.6395534290271132,0.30564024390243905,13.152737639103684,40.6685183586059,0.651502434538869,followup_revision,"Later commits, changed files, test-like files, and log later churn."
temporal,20157,6719,6720,sensitivity_broad_with_related_log,sensitivity_broad_with_related_raw,0.75,2.3592979740087268,0.9132137338187171,0.6114428694020919,0.10732198616667966,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.7263389693520874,0.7734781961601429,0.09986530690783144,0.7734781961601429,0.22652180383985712,0.21476410180086322,0.09986530690783144,0.6403326403326404,0.607095926412615,2.7660868292667766,17.771150779908133,0.6529624188088163,0.7962797619047619,0.2037202380952381,0.1730654761904762,0.06410016819286114,0.705073086844368,0.5989773557341125,1.8365792909250733,16.587299901407278,0.6979446795322513,broad_with_related,Original aggregate plus related issues and log later churn.
repository_disjoint,25652,4462,3482,sensitivity_broad_with_related_log,sensitivity_broad_with_related_raw,0.75,2.068383501978993,0.807628731827194,0.6877665599747756,0.2108018483728643,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.3064912807781761,0.2341999103541013,0.09952153110047847,0.2341999103541013,0.7658000896458987,0.45450470640968177,0.09952153110047847,0.9487179487179487,0.5630670178519169,2.2269065516900497,12.038714244251038,0.9464580052025728,0.24612291786329696,0.753877082136703,0.4218839747271683,0.073512252042007,0.9571136827773996,0.5356190476190477,1.814325862265861,12.250536952146321,0.9538783665294394,broad_with_related,Original aggregate plus related issues and log later churn.
temporal,20157,6719,6720,sensitivity_broad_with_related_log,sensitivity_broad_with_related_raw,0.8,2.558692934457271,0.9074404553043793,0.5283603832905951,0.11529624741125764,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.7755504917836092,0.8237833010864712,0.0999096657633243,0.8237833010864712,0.17621669891352879,0.17398422384283377,0.0999096657633243,0.5269461077844312,0.5202702702702703,3.4934396905083656,18.65443923290187,0.5332021388353045,0.8401785714285714,0.15982142857142856,0.14107142857142857,0.06872121856181368,0.5907172995780591,0.521415270018622,2.481496239865023,17.248623445520217,0.5693778636029765,broad_with_related,Original aggregate plus related issues and log later churn.
repository_disjoint,25652,4462,3482,sensitivity_broad_with_related_log,sensitivity_broad_with_related_raw,0.8,2.3148328383186505,0.7863186629826847,0.5792063592680148,0.23229295443079187,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.3876100112420059,0.3549977588525325,0.09974747474747475,0.3549977588525325,0.6450022411474675,0.3704616763783057,0.09974747474747475,0.9044162129461585,0.519457956914524,3.089254471665454,13.401676454483603,0.887413809276792,0.3653072946582424,0.6346927053417576,0.3463526708788053,0.07625786163522012,0.9195688225538972,0.5018099547511312,2.3876934358500295,13.880267290925202,0.9099104860686905,broad_with_related,Original aggregate plus related issues and log later churn.
temporal,20157,6719,6720,sensitivity_broad_with_related_log,sensitivity_broad_with_related_raw,0.9,3.0638516079866114,0.8856766597032326,0.27115948513160704,0.13775908772276166,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.9999999990870359,1.0,0.08691769608572704,1.0,0.0,0.08691769608572704,0.08691769608572704,0.0,0.0,6.16506098209847,0.0,0.0,1.0,0.0,0.06517857142857143,0.06517857142857143,0.0,0.0,4.841599605768844,0.0,0.0,broad_with_related,Original aggregate plus related issues and log later churn.
repository_disjoint,25652,4462,3482,sensitivity_broad_with_related_log,sensitivity_broad_with_related_raw,0.9,2.884920057156311,0.754557869748792,0.32899902694756067,0.27300753257756033,"feature_title_chars,feature_body_chars,feature_title_mentions_test,feature_body_mentions_test,feature_body_mentions_fix,feature_repo_stars,feature_task_type_confidence,feature_initial_detail_changed_files,feature_initial_detail_additions,feature_initial_detail_deletions,feature_initial_detail_churn,feature_initial_detail_added_files,feature_initial_detail_modified_files,feature_initial_detail_removed_files,feature_initial_detail_test_files,agent,repo_language,feature_task_type",calibration_risk_budget,0.1,0.7657582121237712,0.7050649932765576,0.09980928162746344,0.7050649932765576,0.2949350067234424,0.17436127297176154,0.09980928162746344,0.596401028277635,0.3525835866261398,6.748123258283292,16.89499099434852,0.5115523899125812,0.6826536473291211,0.3173463526708788,0.18408960367604824,0.10980227177114009,0.592823712948518,0.3438914027149321,6.115287605887855,17.35429694493258,0.5688239440053118,broad_with_related,Original aggregate plus related issues and log later churn.
