split,group,n,coverage,q_merge_rate,q_closed_30d_rate,c_initial_burden,xi_workload,v_violation_rate,l_proxy
temporal,all,6720,1.0,0.7459821428571428,0.9013392857142857,5.485063122851441,3.267708333333333,0.11398809523809524,0.3231063335740399
temporal,accepted,5657,0.8418154761904761,0.7981262153084674,0.9340639915149372,6.068403836025701,1.692593247304225,0.07371398267633021,0.1674333244503002
temporal,routed,1063,0.1581845238095238,0.4684854186265287,0.7271872060206962,2.380680795074594,11.650047036688617,0.32831608654750705,1.1515562043294447
repository_disjoint,all,3482,1.0,0.6315336013785181,0.8716255025847214,3.507642277504397,6.644457208500862,0.16168868466398623,0.3255317805079977
repository_disjoint,accepted,1089,0.31275129236071225,0.8099173553719008,0.9439853076216712,4.187235682902772,1.3746556473829201,0.06336088154269973,-0.7243994499582054
repository_disjoint,routed,2393,0.6872487076392878,0.5503552026744672,0.8386961972419557,3.1983747394856636,9.042624320936063,0.20643543669034684,0.8033316593118821
