rows,target,high_workload_quantile,high_workload_threshold,accept_rate_target,score_threshold,acceptance_rate,abstention_rate,high_workload_rate,high_workload_recall_by_abstention,abstention_precision_for_high_workload,accepted_high_workload_rate,false_reject_low_count,intercepted_high_workload_count
"{'train': 20157, 'calibration': 6719, 'test': 6720}",outcome_downstream_workload_log,0.8,2.0794415416798357,0.2,-1.8848587293346895,0.18050595238095238,0.8194940476190476,0.14151785714285714,0.9158780231335436,0.1581623388414745,0.06595218466611706,4636,871
"{'train': 20157, 'calibration': 6719, 'test': 6720}",outcome_downstream_workload_log,0.8,2.0794415416798357,0.4,-1.2867119846440445,0.40029761904761907,0.5997023809523809,0.14151785714285714,0.8843322818086226,0.2086848635235732,0.040892193308550186,3189,841
"{'train': 20157, 'calibration': 6719, 'test': 6720}",outcome_downstream_workload_log,0.8,2.0794415416798357,0.6,-0.28345341169328414,0.6404761904761904,0.3595238095238095,0.14151785714285714,0.8128286014721346,0.3199503311258278,0.041356877323420076,1643,773
"{'train': 20157, 'calibration': 6719, 'test': 6720}",outcome_downstream_workload_log,0.8,2.0794415416798357,0.8,2.3109010086639237,0.821875,0.178125,0.14151785714285714,0.5615141955835962,0.44611528822055135,0.0755024443237371,663,534
