split,case_type,n,share,mean_score,mean_workload,median_workload,mean_reviews,mean_issue_comments,mean_followup_commits,mean_followup_churn,top_agents
repository_disjoint,conservative_abstain_low_workload,1322,0.3796668581275129,0.6940722533349425,1.692889561270802,2.0,0.2413010590015128,0.7488653555219364,0.6830559757942511,811.0597579425114,Copilot=441; OpenAI_Codex=423; Devin=263; Cursor=152; Claude_Code=43
repository_disjoint,false_accept_high_workload,86,0.0246984491671453,0.270660988150263,11.523255813953488,9.0,1.7209302325581397,1.7209302325581397,6.174418604651163,1136.7558139534883,OpenAI_Codex=72; Copilot=6; Cursor=6; Devin=2
repository_disjoint,safe_accept_low_workload,1003,0.2880528431935669,0.2227571842051554,0.5044865403788634,0.0,0.0877367896311066,0.1954137587238285,0.2113659022931206,65.57826520438684,OpenAI_Codex=994; Cursor=6; Claude_Code=2; Copilot=1
repository_disjoint,useful_abstain_high_workload,1071,0.3075818495117748,0.7993572118033475,18.11484593837535,12.0,3.8085901027077496,3.6704014939309055,6.623716153127917,6438.672268907563,Copilot=534; Devin=307; Cursor=97; OpenAI_Codex=88; Claude_Code=45
temporal,conservative_abstain_low_workload,531,0.0790178571428571,0.8528108713577455,2.866290018832392,3.0,0.4124293785310734,1.0470809792843692,1.3370998116760828,4012.288135593221,Copilot=363; Devin=104; Cursor=35; Claude_Code=29
temporal,false_accept_high_workload,419,0.0623511904761904,0.5482556930181027,17.317422434367543,12.0,3.4105011933174225,3.2195704057279237,6.828162291169451,5859.3914081145585,Copilot=127; OpenAI_Codex=123; Cursor=91; Devin=43; Claude_Code=35
temporal,safe_accept_low_workload,5238,0.7794642857142857,0.1703348017342296,0.4427262313860252,0.0,0.0582283314242077,0.1788850706376479,0.1842306223749522,197.2258495609011,OpenAI_Codex=4774; Cursor=183; Copilot=151; Devin=80; Claude_Code=50
temporal,useful_abstain_high_workload,532,0.0791666666666666,0.8599271136348319,20.417293233082702,14.0,4.434210526315789,4.2593984962406015,6.347744360902255,9079.186090225565,Copilot=322; Devin=157; Claude_Code=35; Cursor=18
