controller,n,success_rate,mean_calls,mean_total_tokens,mean_latency_s
context_gate_high_only,60,0.95,1.8333333333333333,764.7166666666667,15.004173333333334
context_gate_medium_high,60,0.9833333333333333,2.4,1054.0,19.915799999999997
direct_low,60,0.9,1.0,319.18333333333334,7.195461666666665
learned_gate_loto,60,0.9333333333333333,1.6,649.4833333333333,13.075501666666666
standard_full,60,0.9833333333333333,3.0,1331.5666666666666,24.400531666666666
