dataset,controller,headroom_bin,mean_certified_headroom,mean_exact_headroom,exact_headroom_positive_rate,benchmark_safe_rate,outside_safe_rate,negative_drift_rate,mean_drift,rows
rebench,adaptive_threshold,<=0,-0.08576021321484115,0.019773654621490545,0.7605633802816901,0.2535211267605634,1.0,0.9014084507042254,-0.13892500717477127,71
rebench,adaptive_threshold,"(0,0.03]",0.016524163564176377,0.13370321099344518,1.0,0.4864864864864865,1.0,1.0,-0.24106210295563213,37
rebench,adaptive_threshold,"(0.03,0.08]",0.05682089962920553,0.16339390485262426,1.0,0.48863636363636365,1.0,1.0,-0.26076897300652174,88
rebench,adaptive_threshold,"(0.08,0.15]",0.11837901693561174,0.22292394578631905,1.0,0.7574257425742574,0.693069306930693,1.0,-0.3285207960344708,202
rebench,adaptive_threshold,>0.15,0.17812185353320364,0.26212271595773323,1.0,0.7745098039215687,0.3431372549019608,1.0,-0.37533284613066964,102
rebench,always_verify,<=0,-0.15767811171965473,-0.0731963748076154,0.4,0.06666666666666667,1.0,0.7333333333333333,-0.04541826520807275,15
rebench,always_verify,"(0,0.03]",0.01876777400134138,0.1487960188939093,1.0,0.2857142857142857,1.0,1.0,-0.220780237542022,7
rebench,always_verify,"(0.03,0.08]",0.05489336022209936,0.1867033151129566,1.0,0.25,1.0,1.0,-0.253494750893353,24
rebench,always_verify,"(0.08,0.15]",0.1225313133882295,0.25714858787380795,1.0,0.35135135135135137,0.8198198198198198,1.0,-0.33142119196559094,111
rebench,always_verify,>0.15,0.2065013883805296,0.3002741378803915,1.0,0.3556851311953353,0.7813411078717201,1.0,-0.35942034475622164,343
rebench,always_verify_throttle,<=0,-0.15732599990433938,-0.07284426299230003,0.4,0.06666666666666667,1.0,0.7333333333333333,-0.04643547711898379,15
rebench,always_verify_throttle,"(0,0.03]",0.017345405688427757,0.15049914728872496,1.0,0.3333333333333333,1.0,1.0,-0.22665448693216728,6
rebench,always_verify_throttle,"(0.03,0.08]",0.05439832532655723,0.18538689260762792,1.0,0.28,1.0,1.0,-0.25253458651821065,25
rebench,always_verify_throttle,"(0.08,0.15]",0.1235845784620764,0.25660879459001223,1.0,0.3619047619047619,0.8380952380952381,1.0,-0.3246207116387787,105
rebench,always_verify_throttle,>0.15,0.20813655707214107,0.3022260237224783,1.0,0.39255014326647564,0.7449856733524355,1.0,-0.35761370634289047,349
rebench,camc_rsrc_anchor,<=0,-0.15568808902370482,-0.07375880101238176,0.42105263157894735,0.2631578947368421,1.0,0.7894736842105263,-0.06370813370484703,19
rebench,camc_rsrc_anchor,"(0,0.03]",0.01792943025608925,0.1339232700532145,1.0,0.2,1.0,1.0,-0.21950299167889958,10
rebench,camc_rsrc_anchor,"(0.03,0.08]",0.054737250336817506,0.18193169622546204,1.0,0.36585365853658536,1.0,1.0,-0.26370107756506317,41
rebench,camc_rsrc_anchor,"(0.08,0.15]",0.12190930317768854,0.24293603034551145,1.0,0.6906077348066298,0.5359116022099447,1.0,-0.3409814166810124,181
rebench,camc_rsrc_anchor,>0.15,0.19235517420506193,0.28470857725129883,1.0,0.6947791164658634,0.41767068273092367,1.0,-0.3833597934461069,249
rebench,camc_sempc_candidate,<=0,-0.1724268216277318,-0.09012137748847733,0.3684210526315789,0.42105263157894735,1.0,0.7894736842105263,-0.0579104453556958,19
rebench,camc_sempc_candidate,"(0,0.03]",0.01969493616316602,0.14677924358715705,1.0,0.36363636363636365,1.0,1.0,-0.24469958915828205,22
rebench,camc_sempc_candidate,"(0.03,0.08]",0.05712958838623858,0.17905056240725736,1.0,0.5111111111111111,1.0,1.0,-0.2586792618254703,45
rebench,camc_sempc_candidate,"(0.08,0.15]",0.11876811014203392,0.23361433751384017,1.0,0.7371134020618557,0.7061855670103093,1.0,-0.3373984140549709,194
rebench,camc_sempc_candidate,>0.15,0.18772952372575047,0.2796764501550985,1.0,0.7272727272727273,0.42272727272727273,1.0,-0.3848543515922854,220
rebench,camc_static_anchor,<=0,-0.1662396475823372,-0.08361957293013061,0.35294117647058826,0.29411764705882354,1.0,0.7647058823529411,-0.05676096961892954,17
rebench,camc_static_anchor,"(0,0.03]",0.018193370587092618,0.13158046248646996,1.0,0.3,1.0,1.0,-0.21745849983511625,10
rebench,camc_static_anchor,"(0.03,0.08]",0.05655021708823804,0.19151534280029311,1.0,0.53125,1.0,1.0,-0.27890482210871886,32
rebench,camc_static_anchor,"(0.08,0.15]",0.12166310688511386,0.2448740330343544,1.0,0.6484375,0.6171875,1.0,-0.3228792945452674,128
rebench,camc_static_anchor,>0.15,0.20901280649096643,0.3024539042735782,1.0,0.8115015974440895,0.26517571884984026,1.0,-0.37293549148987504,313
rebench,greedy_myopic,<=0,-0.08814117652259358,0.024107098037228988,0.7380952380952381,0.2619047619047619,1.0,0.9444444444444444,-0.20763986663113418,126
rebench,greedy_myopic,"(0,0.03]",0.016540217266756748,0.12579368190042867,1.0,0.3968253968253968,1.0,1.0,-0.2932295379970782,63
rebench,greedy_myopic,"(0.03,0.08]",0.054688382813954946,0.16306823131107026,1.0,0.5370370370370371,1.0,1.0,-0.3301092140962493,108
rebench,greedy_myopic,"(0.08,0.15]",0.10939671727209067,0.2128668180470139,1.0,0.5517241379310345,0.8827586206896552,1.0,-0.3643402790320585,145
rebench,greedy_myopic,>0.15,0.18260870097933124,0.2689266114422002,1.0,0.7758620689655172,0.3103448275862069,1.0,-0.41238489428736264,58
rebench,headroom_only,<=0,-0.16899874753016145,-0.09672833259572844,0.3125,0.125,1.0,0.75,-0.0406780059152064,16
rebench,headroom_only,"(0,0.03]",0.019804075803931804,0.12323166939427616,1.0,0.5,1.0,1.0,-0.21540132529296965,6
rebench,headroom_only,"(0.03,0.08]",0.056769434916713005,0.17448757432665224,1.0,0.2727272727272727,1.0,1.0,-0.25782380856591397,33
rebench,headroom_only,"(0.08,0.15]",0.12404542519413218,0.23427926020089457,1.0,0.6428571428571429,0.5857142857142857,1.0,-0.33067744043420594,140
rebench,headroom_only,>0.15,0.20032167276815321,0.2809334949353999,1.0,0.6885245901639344,0.38688524590163936,1.0,-0.38258127604620423,305
rebench,maxweight_backlog,<=0,-0.16896615000441773,-0.08634868928067936,0.35294117647058826,0.23529411764705882,1.0,0.7647058823529411,-0.051757246317370005,17
rebench,maxweight_backlog,"(0,0.03]",0.0182360011252222,0.13087819523157543,1.0,0.36363636363636365,1.0,1.0,-0.22042852044668274,11
rebench,maxweight_backlog,"(0.03,0.08]",0.05705573709143156,0.18863432830801266,1.0,0.34285714285714286,1.0,1.0,-0.26762896816191967,35
rebench,maxweight_backlog,"(0.08,0.15]",0.12220897977759136,0.24509918571822453,1.0,0.6645569620253164,0.5569620253164557,1.0,-0.33370953958055616,158
rebench,maxweight_backlog,>0.15,0.19656821752748557,0.289725251893608,1.0,0.7383512544802867,0.36917562724014336,1.0,-0.3820829579515597,279
rebench,minimal_verify,<=0,-0.11397321429778588,-0.017956866493002818,0.486815415821501,0.002028397565922921,1.0,0.8782961460446247,-0.05564265452764326,493
rebench,minimal_verify,"(0,0.03]",0.01456964316126741,0.150595760897911,1.0,0.0,1.0,1.0,-0.27050019598418895,2
rebench,minimal_verify,"(0.03,0.08]",0.05147578210990258,0.25675719158373983,1.0,0.3333333333333333,1.0,1.0,-0.42709090812073636,3
rebench,minimal_verify,>0.15,0.1743033459194132,0.3934138071480506,1.0,1.0,0.0,1.0,-0.5693483790003357,2
rebench,oracle_src,<=0,-0.13822282300375086,-0.13822282300375086,0.0,0.16,1.0,0.68,-0.01636830283994526,25
rebench,oracle_src,"(0,0.03]",0.016529208984176733,0.016529208984176733,1.0,0.14285714285714285,1.0,1.0,-0.12972151320366454,14
rebench,oracle_src,"(0.03,0.08]",0.05784028632083254,0.05784028632083254,1.0,0.13513513513513514,1.0,1.0,-0.17532567911835648,37
rebench,oracle_src,"(0.08,0.15]",0.12114722416953233,0.12114722416953233,1.0,0.4012738853503185,0.8853503184713376,1.0,-0.23614861760577607,157
rebench,oracle_src,>0.15,0.20026772172859952,0.20026772172859952,1.0,0.5655430711610487,0.4868913857677903,1.0,-0.31932401190645954,267
rebench,pareto_camc_rsrc_anchor,<=0,-0.1699740595288295,-0.0873575245722849,0.35294117647058826,0.17647058823529413,1.0,0.7647058823529411,-0.04999104280013583,17
rebench,pareto_camc_rsrc_anchor,"(0,0.03]",0.01892820865867272,0.1273046450375541,1.0,0.25,1.0,1.0,-0.21067985629669037,12
rebench,pareto_camc_rsrc_anchor,"(0.03,0.08]",0.05860980451687852,0.19134358860031747,1.0,0.3611111111111111,1.0,1.0,-0.27054252968928244,36
rebench,pareto_camc_rsrc_anchor,"(0.08,0.15]",0.12252271469117279,0.24436000753420073,1.0,0.6703910614525139,0.5027932960893855,1.0,-0.34310116695733545,179
rebench,pareto_camc_rsrc_anchor,>0.15,0.19276587628378786,0.28524232372911784,1.0,0.6875,0.4140625,1.0,-0.38361413282053597,256
rebench,pareto_camc_sempc_candidate,<=0,-0.15952468640830753,-0.07688105301417153,0.35294117647058826,0.29411764705882354,1.0,0.7647058823529411,-0.05983762750509348,17
rebench,pareto_camc_sempc_candidate,"(0,0.03]",0.017337297985927584,0.1345301516887783,1.0,0.2222222222222222,1.0,1.0,-0.21587194049770794,9
rebench,pareto_camc_sempc_candidate,"(0.03,0.08]",0.054900030898915514,0.1932756234187414,1.0,0.5161290322580645,1.0,1.0,-0.2746733055530508,31
rebench,pareto_camc_sempc_candidate,"(0.08,0.15]",0.12087954382298435,0.24620779443625682,1.0,0.5916666666666667,0.6833333333333333,1.0,-0.3232334149384428,120
rebench,pareto_camc_sempc_candidate,>0.15,0.20369185229004869,0.297564568374944,1.0,0.7616099071207431,0.30959752321981426,1.0,-0.3724592019992673,323
rebench,pareto_camc_static_anchor,<=0,-0.16622256906803962,-0.083602494415833,0.35294117647058826,0.29411764705882354,1.0,0.7647058823529411,-0.0568103075491226,17
rebench,pareto_camc_static_anchor,"(0,0.03]",0.018193413677045144,0.13158050557642248,1.0,0.3,1.0,1.0,-0.21745862431720134,10
rebench,pareto_camc_static_anchor,"(0.03,0.08]",0.0565524630262371,0.1915175887382922,1.0,0.53125,1.0,1.0,-0.2789113103740495,32
rebench,pareto_camc_static_anchor,"(0.08,0.15]",0.12148658931096562,0.24508451187812164,1.0,0.6456692913385826,0.6220472440944882,1.0,-0.32291018199725113,127
