dataset,controller,headroom_bin,mean_drift,mean_delta_sq,negative_drift_rate,negative_delta_sq_rate,rows
rebench,pareto_camc_sempc_candidate,<=0,-0.05983762750509348,0.007989214673560266,0.7647058823529411,0.0,17
rebench,pareto_camc_sempc_candidate,"(0,0.03]",-0.21587194049770794,0.0,1.0,0.0,9
rebench,pareto_camc_sempc_candidate,"(0.03,0.08]",-0.2746733055530508,0.0,1.0,0.0,31
rebench,pareto_camc_sempc_candidate,"(0.08,0.15]",-0.3232334149384428,-2.8231967715646634e-05,1.0,0.008333333333333333,120
rebench,pareto_camc_sempc_candidate,>0.15,-0.3724592019992673,-0.0004099963260824982,1.0,0.01238390092879257,323
rebench,pareto_camc_static_anchor,<=0,-0.0568103075491226,0.007680908046518638,0.7647058823529411,0.0,17
rebench,pareto_camc_static_anchor,"(0,0.03]",-0.21745862431720134,0.0,1.0,0.0,10
rebench,pareto_camc_static_anchor,"(0.03,0.08]",-0.2789113103740495,0.0,1.0,0.0,32
rebench,pareto_camc_static_anchor,"(0.08,0.15]",-0.32291018199725113,-1.4667199365221265e-05,1.0,0.007874015748031496,127
rebench,pareto_camc_static_anchor,>0.15,-0.3726137134446248,-0.00040991306519564893,1.0,0.012738853503184714,314
rebench,plain_mpc,<=0,-0.1791635602060041,0.0008361959284568717,0.9639344262295082,0.01639344262295082,305
rebench,plain_mpc,"(0,0.03]",-0.2523151500297664,-0.0017588948839954892,1.0,0.06206896551724138,145
rebench,plain_mpc,"(0.03,0.08]",-0.3595204270872149,0.0,1.0,0.0,34
rebench,plain_mpc,"(0.08,0.15]",-0.45801080394652,0.0,1.0,0.0,15
rebench,plain_mpc,>0.15,-0.42751426994870584,0.0,1.0,0.0,1
rebench,rsrc,<=0,-0.04999104280013583,0.008281619938568414,0.7647058823529411,0.0,17
rebench,rsrc,"(0,0.03]",-0.21067985629669037,0.0,1.0,0.0,12
rebench,rsrc,"(0.03,0.08]",-0.27054252968928244,0.0,1.0,0.0,36
rebench,rsrc,"(0.08,0.15]",-0.34310116695733545,-2.0092356160798797e-05,1.0,0.00558659217877095,179
rebench,rsrc,>0.15,-0.38361413282053597,-0.0005359023718862502,1.0,0.015625,256
rebench,rsrc_no_context,<=0,-0.049981826212795524,0.008259266166560232,0.7647058823529411,0.0,17
rebench,rsrc_no_context,"(0,0.03]",-0.2106797913283247,0.0,1.0,0.0,12
rebench,rsrc_no_context,"(0.03,0.08]",-0.2705389208562281,0.0,1.0,0.0,36
rebench,rsrc_no_context,"(0.08,0.15]",-0.34384753973927124,-1.9653438235500202e-05,1.0,0.005649717514124294,177
rebench,rsrc_no_context,>0.15,-0.38479437020964175,-0.0005307320397823272,1.0,0.015503875968992248,258
rebench,rsrc_no_recovery,<=0,-0.040661904633322046,0.008799522995029082,0.75,0.0,16
rebench,rsrc_no_recovery,"(0,0.03]",-0.21540976342086135,0.0,1.0,0.0,6
rebench,rsrc_no_recovery,"(0.03,0.08]",-0.2578208633657731,0.0,1.0,0.0,33
rebench,rsrc_no_recovery,"(0.08,0.15]",-0.3298620618912592,-2.480373160070448e-05,1.0,0.006896551724137931,145
rebench,rsrc_no_recovery,>0.15,-0.38219334672972416,-0.0004573194227945438,1.0,0.013333333333333334,300
rebench,se_mpc,<=0,-0.0499285851619134,0.008281620104259464,0.7647058823529411,0.0,17
rebench,se_mpc,"(0,0.03]",-0.2230902102845736,0.0,1.0,0.0,13
rebench,se_mpc,"(0.03,0.08]",-0.2665726825469993,0.0,1.0,0.0,35
rebench,se_mpc,"(0.08,0.15]",-0.34232299772226576,-1.9870341175708536e-05,1.0,0.0055248618784530384,181
rebench,se_mpc,>0.15,-0.38403503002764183,-0.0005401220866913686,1.0,0.015748031496062992,254
rebench,static_aggressive,<=0,-0.1892168967852364,0.0031694823115650662,0.8928571428571429,0.0,56
rebench,static_aggressive,"(0,0.03]",-0.29901975027292166,-1.4524888522481846e-05,1.0,0.03333333333333333,30
rebench,static_aggressive,"(0.03,0.08]",-0.33275571013269734,-0.001558078444853067,1.0,0.024096385542168676,83
rebench,static_aggressive,"(0.08,0.15]",-0.37418597993718666,-0.00023658679515471074,1.0,0.015706806282722512,191
rebench,static_aggressive,>0.15,-0.4136212954638394,-1.819052853296395e-05,1.0,0.007142857142857143,140
rebench,static_conservative,<=0,-0.0568103075491226,0.007680908046518638,0.7647058823529411,0.0,17
rebench,static_conservative,"(0,0.03]",-0.21745862431720134,0.0,1.0,0.0,10
rebench,static_conservative,"(0.03,0.08]",-0.2789113103740495,0.0,1.0,0.0,32
rebench,static_conservative,"(0.08,0.15]",-0.32291018199725113,-1.4667199365221265e-05,1.0,0.007874015748031496,127
rebench,static_conservative,>0.15,-0.3726137134446248,-0.00040991306519564893,1.0,0.012738853503184714,314
smith,adaptive_threshold,<=0,0.07203555850942184,0.052000928754676726,0.45517241379310347,0.14482758620689656,145
smith,adaptive_threshold,"(0,0.03]",-0.1955412115594837,-0.0610501178843029,1.0,0.4,25
smith,adaptive_threshold,"(0.03,0.08]",-0.230992176167377,-0.0286237651787944,1.0,0.3108108108108108,74
smith,adaptive_threshold,"(0.08,0.15]",-0.27185267490209875,-0.01892060973885987,1.0,0.25,156
smith,adaptive_threshold,>0.15,-0.3154169171930185,-0.0038523262542003857,1.0,0.18,100
smith,always_verify,<=0,0.076020238282847,0.05378150628725878,0.45454545454545453,0.13286713286713286,143
smith,always_verify,"(0,0.03]",-0.19619777604482533,-0.059027552624187046,1.0,0.48,25
smith,always_verify,"(0.03,0.08]",-0.22637645068334714,-0.04068413277113759,1.0,0.4084507042253521,71
smith,always_verify,"(0.08,0.15]",-0.25836229741687117,-0.016763599162222694,1.0,0.24806201550387597,129
smith,always_verify,>0.15,-0.29852058012925675,-0.004186977898832738,1.0,0.16666666666666666,132
smith,always_verify_throttle,<=0,0.0757692237043211,0.05373716457049002,0.45454545454545453,0.13286713286713286,143
smith,always_verify_throttle,"(0,0.03]",-0.1964014069216378,-0.05901151714925196,1.0,0.48,25
smith,always_verify_throttle,"(0.03,0.08]",-0.2237553909888314,-0.041208953808139284,1.0,0.4142857142857143,70
smith,always_verify_throttle,"(0.08,0.15]",-0.255963585642949,-0.017148296560784797,1.0,0.24603174603174602,126
smith,always_verify_throttle,>0.15,-0.2977722338928923,-0.004066084304429568,1.0,0.16911764705882354,136
