dataset,controller,L_bin,mean_drift,mean_delta_sq,negative_drift_rate,negative_delta_sq_rate,rows
smith,plain_mpc,"(0.5,1]",-0.1197465605560152,-0.12048978406253252,0.8378378378378378,0.8378378378378378,37
smith,plain_mpc,"(1,2]",-0.21069044973565276,-0.40136054506090213,1.0,1.0,1
smith,rsrc,<=0.5,-0.14568387474062203,0.010636068706448629,0.8231132075471698,0.21226415094339623,424
smith,rsrc,"(0.5,1]",-0.14791052272523258,-0.14935514333279862,0.84,0.84,25
smith,rsrc_no_context,<=0.5,-0.14568387474062203,0.010636068706448629,0.8231132075471698,0.21226415094339623,424
smith,rsrc_no_context,"(0.5,1]",-0.14791052272523258,-0.14935514333279862,0.84,0.84,25
smith,rsrc_no_recovery,<=0.5,-0.1444852462524886,0.010685041135703642,0.8222748815165877,0.2132701421800948,422
smith,rsrc_no_recovery,"(0.5,1]",-0.14787506840904954,-0.14933088714834786,0.84,0.84,25
smith,se_mpc,<=0.5,-0.14568387474062203,0.010636068706448629,0.8231132075471698,0.21226415094339623,424
smith,se_mpc,"(0.5,1]",-0.14791052272523258,-0.14935514333279862,0.84,0.84,25
smith,static_aggressive,<=0.5,-0.16763758570864992,0.013152800088242808,0.8297413793103449,0.1939655172413793,464
smith,static_aggressive,"(0.5,1]",-0.16170015776900568,-0.16621440523375597,0.8620689655172413,0.8620689655172413,29
smith,static_aggressive,"(1,2]",-0.2666547026640073,-0.5000800364221171,1.0,1.0,1
smith,static_conservative,<=0.5,-0.1444214332521422,0.010797528948414029,0.8229665071770335,0.21291866028708134,418
smith,static_conservative,"(0.5,1]",-0.14814540857343933,-0.14953095204405745,0.88,0.88,25
test,adaptive_threshold,<=0.5,-0.2917933605784153,0.0007880171090626142,0.9937888198757764,0.003105590062111801,322
test,adaptive_threshold,"(0.5,1]",-0.36224083467540846,-0.2337230003911375,1.0,1.0,1
test,always_verify,<=0.5,-0.33653929018926876,0.0005659233053119832,0.9949367088607595,0.005063291139240506,395
test,always_verify,"(0.5,1]",-0.3361485506043062,-0.22353970559823338,1.0,1.0,1
test,always_verify_throttle,<=0.5,-0.33607280890045826,0.0005882574725906334,0.9947368421052631,0.005263157894736842,380
test,always_verify_throttle,"(0.5,1]",-0.3361518598827326,-0.22353783958444068,1.0,1.0,1
test,camc_rsrc_anchor,<=0.5,-0.32343712880862197,2.3927220358300787e-20,0.993103448275862,0.010344827586206896,290
test,camc_sempc_candidate,<=0.5,-0.32732813941835925,2.028916346171704e-20,0.9941520467836257,0.008771929824561403,342
test,camc_static_anchor,<=0.5,-0.32231482546880863,0.0,0.992,0.012,250
test,greedy_myopic,<=0.5,-0.3342594260937711,0.000636546184599549,0.9928741092636579,0.007125890736342043,421
test,greedy_myopic,"(0.5,1]",-0.3778205232905312,-0.2679859437164101,1.0,1.0,1
test,headroom_only,<=0.5,-0.32567611730308127,-3.7305881203802306e-20,0.992831541218638,0.010752688172043012,279
