dataset,controller,profile,safety_augmented_cost,ci_low,ci_high
rebench,adaptive_threshold,low,0.6613225861722631,0.660894283848291,0.6617508884962353
rebench,adaptive_threshold,medium,1.076322586172263,1.0757508884962352,1.076894283848291
rebench,adaptive_threshold,high,1.698822586172263,1.6967508884962352,1.700894283848291
rebench,always_verify,low,0.6876403849501631,0.683323515289568,0.6919572546107582
rebench,always_verify,medium,1.016640384950163,1.0073235152895679,1.0259572546107583
rebench,always_verify,high,1.5101403849501631,1.493323515289568,1.5269572546107582
rebench,always_verify_throttle,low,0.6869478456054969,0.6826031846422085,0.6912925065687854
rebench,always_verify_throttle,medium,1.015947845605497,1.0066031846422083,1.0252925065687855
rebench,always_verify_throttle,high,1.509447845605497,1.4926031846422085,1.5262925065687853
rebench,camc_rsrc_anchor,low,0.6679603866154824,0.6615068027258308,0.6744139705051339
rebench,camc_rsrc_anchor,medium,1.0439603866154823,1.0295068027258307,1.0584139705051339
rebench,camc_rsrc_anchor,high,1.6079603866154824,1.5815068027258308,1.634413970505134
rebench,camc_sempc_candidate,low,0.6640442003386913,0.6558676869001399,0.6722207137772427
rebench,camc_sempc_candidate,medium,1.0490442003386913,1.03186768690014,1.0662207137772426
rebench,camc_sempc_candidate,high,1.6265442003386914,1.59586768690014,1.6572207137772428
rebench,camc_static_anchor,low,0.66108682993514,0.6554068899891557,0.6667667698811244
rebench,camc_static_anchor,medium,1.03108682993514,1.0174068899891557,1.0447667698811243
rebench,camc_static_anchor,high,1.58608682993514,1.5604068899891557,1.6117667698811242
rebench,greedy_myopic,low,0.6760012149557147,0.671938411840046,0.6800640180713835
rebench,greedy_myopic,medium,1.0860012149557148,1.075938411840046,1.0960640180713837
rebench,greedy_myopic,high,1.7010012149557148,1.6819384118400462,1.7200640180713835
rebench,headroom_only,low,0.6683172676262827,0.662385100253253,0.6742494349993126
rebench,headroom_only,medium,1.043317267626283,1.0303851002532531,1.0562494349993126
rebench,headroom_only,high,1.605817267626283,1.5823851002532532,1.6292494349993125
rebench,maxweight_backlog,low,0.6671573628756766,0.6611592602974755,0.6731554654538776
rebench,maxweight_backlog,medium,1.0421573628756766,1.0291592602974755,1.0551554654538775
rebench,maxweight_backlog,high,1.6046573628756766,1.5811592602974756,1.6281554654538775
rebench,minimal_verify,low,0.7115071297027422,0.7035277973681614,0.7194864620373229
rebench,minimal_verify,medium,1.2030071297027423,1.1925277973681614,1.213486462037323
rebench,minimal_verify,high,1.942507129702742,1.9305277973681614,1.9544864620373228
rebench,oracle_src,low,0.6622763174516162,0.661496901864091,0.6630557330391413
rebench,oracle_src,medium,1.0882763174516161,1.0850557330391413,1.091496901864091
rebench,oracle_src,high,1.7272763174516161,1.7180557330391413,1.736496901864091
rebench,pareto_camc_rsrc_anchor,low,0.6680193267989707,0.6620603676707553,0.6739782859271862
rebench,pareto_camc_rsrc_anchor,medium,1.0430193267989707,1.0300603676707554,1.0559782859271862
rebench,pareto_camc_rsrc_anchor,high,1.6055193267989707,1.5820603676707554,1.6289782859271862
rebench,pareto_camc_sempc_candidate,low,0.6640750410159529,0.6572926151183067,0.6708574669135992
rebench,pareto_camc_sempc_candidate,medium,1.033075041015953,1.0172926151183068,1.048857466913599
rebench,pareto_camc_sempc_candidate,high,1.586575041015953,1.5572926151183069,1.615857466913599
rebench,pareto_camc_static_anchor,low,0.6610809333708103,0.6554068899891555,0.6667549767524652
rebench,pareto_camc_static_anchor,medium,1.0310809333708102,1.0174068899891555,1.044754976752465
rebench,pareto_camc_static_anchor,high,1.5860809333708104,1.5604068899891554,1.611754976752465
rebench,plain_mpc,low,0.6822596972523661,0.6774308980775674,0.6870884964271649
rebench,plain_mpc,medium,1.1302596972523662,1.1234308980775674,1.1370884964271648
rebench,plain_mpc,high,1.8022596972523661,1.7924308980775674,1.8120884964271649
rebench,rsrc,low,0.6680193267989707,0.6620603676707553,0.6739782859271862
rebench,rsrc,medium,1.0430193267989707,1.0300603676707554,1.0559782859271862
rebench,rsrc,high,1.6055193267989707,1.5820603676707554,1.6289782859271862
rebench,rsrc_no_context,low,0.6680162640288496,0.6620542421155232,0.673978285942176
rebench,rsrc_no_context,medium,1.0430162640288496,1.0300542421155232,1.055978285942176
rebench,rsrc_no_context,high,1.6055162640288496,1.5820542421155233,1.628978285942176
rebench,rsrc_no_recovery,low,0.6683206692240935,0.6623919034563692,0.6742494349918177
rebench,rsrc_no_recovery,medium,1.0433206692240935,1.0303919034563693,1.0562494349918177
rebench,rsrc_no_recovery,high,1.6058206692240935,1.5823919034563694,1.6292494349918176
rebench,se_mpc,low,0.6688278965366492,0.6602680263408748,0.6773877667324235
rebench,se_mpc,medium,1.044827896536649,1.0282680263408748,1.0613877667324236
rebench,se_mpc,high,1.6088278965366491,1.5802680263408748,1.6373877667324237
rebench,static_aggressive,low,0.6754513200813848,0.6699814273963849,0.6809212127663846
rebench,static_aggressive,medium,1.0524513200813845,1.0399814273963848,1.0649212127663845
rebench,static_aggressive,high,1.6179513200813846,1.5949814273963847,1.6409212127663846
rebench,static_conservative,low,0.6610809333708103,0.6554068899891555,0.6667549767524652
rebench,static_conservative,medium,1.0310809333708102,1.0174068899891555,1.044754976752465
