dataset,controller,headroom_bin,L_bin,mean_drift,mean_delta_sq,negative_drift_rate,negative_delta_sq_rate,benchmark_safe_rate,rows
rebench,camc_sempc_candidate,"(0.08,0.15]",<=0.5,-0.3373984140549709,-8.433173486101136e-05,1.0,0.010309278350515464,0.7371134020618557,194
rebench,camc_sempc_candidate,>0.15,<=0.5,-0.3848543515922854,-0.0005953509346478507,1.0,0.013636363636363636,0.7272727272727273,220
rebench,camc_static_anchor,<=0,<=0.5,-0.05676096961892954,0.007680908602622807,0.7647058823529411,0.0,0.29411764705882354,17
rebench,camc_static_anchor,"(0,0.03]",<=0.5,-0.21745849983511625,0.0,1.0,0.0,0.3,10
rebench,camc_static_anchor,"(0.03,0.08]",<=0.5,-0.27890482210871886,0.0,1.0,0.0,0.53125,32
rebench,camc_static_anchor,"(0.08,0.15]",<=0.5,-0.3228792945452674,-1.4552611870180474e-05,1.0,0.0078125,0.6484375,128
rebench,camc_static_anchor,>0.15,<=0.5,-0.37293549148987504,-0.00041122272180576564,1.0,0.012779552715654952,0.8115015974440895,313
rebench,greedy_myopic,<=0,<=0.5,-0.20763986663113418,0.001404969543621032,0.9444444444444444,0.007936507936507936,0.2619047619047619,126
rebench,greedy_myopic,"(0,0.03]",<=0.5,-0.2932295379970782,-7.784100805180125e-06,1.0,0.015873015873015872,0.3968253968253968,63
rebench,greedy_myopic,"(0.03,0.08]",<=0.5,-0.3301092140962493,0.0,1.0,0.0,0.5370370370370371,108
rebench,greedy_myopic,"(0.08,0.15]",<=0.5,-0.3643402790320585,-0.0011996185104629915,1.0,0.034482758620689655,0.5517241379310345,145
rebench,greedy_myopic,>0.15,<=0.5,-0.41238489428736264,-4.467379531706781e-05,1.0,0.017241379310344827,0.7758620689655172,58
rebench,headroom_only,<=0,<=0.5,-0.0406780059152064,0.008775771846004645,0.75,0.0,0.125,16
rebench,headroom_only,"(0,0.03]",<=0.5,-0.21540132529296965,0.0,1.0,0.0,0.5,6
rebench,headroom_only,"(0.03,0.08]",<=0.5,-0.25782380856591397,0.0,1.0,0.0,0.2727272727272727,33
rebench,headroom_only,"(0.08,0.15]",<=0.5,-0.33067744043420594,-2.484762673463629e-05,1.0,0.007142857142857143,0.6428571428571429,140
rebench,headroom_only,>0.15,<=0.5,-0.38258127604620423,-0.00044896289112532865,1.0,0.013114754098360656,0.6885245901639344,305
rebench,maxweight_backlog,<=0,<=0.5,-0.051757246317370005,0.008111146860374018,0.7647058823529411,0.0,0.23529411764705882,17
rebench,maxweight_backlog,"(0,0.03]",<=0.5,-0.22042852044668274,0.0,1.0,0.0,0.36363636363636365,11
rebench,maxweight_backlog,"(0.03,0.08]",<=0.5,-0.26762896816191967,0.0,1.0,0.0,0.34285714285714286,35
rebench,maxweight_backlog,"(0.08,0.15]",<=0.5,-0.33370953958055616,-1.9143905726918422e-05,1.0,0.006329113924050633,0.6645569620253164,158
rebench,maxweight_backlog,>0.15,<=0.5,-0.3820829579515597,-0.00048338623484410454,1.0,0.014336917562724014,0.7383512544802867,279
rebench,minimal_verify,<=0,<=0.5,-0.05587865614776458,0.0003287571490842723,0.8813905930470347,0.19427402862985685,0.002044989775051125,489
rebench,minimal_verify,<=0,"(0.5,1]",-0.026791456467812447,-0.028818934099820656,0.5,0.5,0.0,4
rebench,minimal_verify,"(0,0.03]",<=0.5,-0.27050019598418895,0.0,1.0,0.0,0.0,2
rebench,minimal_verify,"(0.03,0.08]",<=0.5,-0.42709090812073636,0.0,1.0,0.0,0.3333333333333333,3
rebench,minimal_verify,>0.15,<=0.5,-0.5693483790003357,0.0,1.0,0.0,1.0,2
rebench,oracle_src,<=0,<=0.5,-0.01636830283994526,0.011001472667424968,0.68,0.0,0.16,25
rebench,oracle_src,"(0,0.03]",<=0.5,-0.12972151320366454,0.0,1.0,0.0,0.14285714285714285,14
