dataset,controller,seed,horizon,discounted_cost,success_rate,avg_workload,overload_rate,safe_occupancy_rate,perf_occupancy_rate,benchmark_action_safe_occupancy_rate,benchmark_safe_occupancy_rate,safe_set_nonempty_rate,exact_safe_set_nonempty_rate,benchmark_action_set_nonempty_rate,fallback_rate,verification_rate,high_effort_rate,max_effort_rate,avg_atoms_selected,avg_context_load,avg_q_ver,avg_recovery_mass,avg_diagnostic_debt,avg_arrival_pressure,certificate_load_violation_rate,certificate_service_violation_rate,theta_nesting_precision,theta_nesting_recall,theta_benchmark_precision,theta_benchmark_recall,action_safe_precision,safe_event_precision,safe_event_recall,mean_drift_outside_safe,negative_drift_rate_outside_safe,avg_return_time_to_safe,excursion_count,mpc_eligible_rate,mpc_activation_rate,mpc_fallback_to_rsrc_rate,mpc_mean_candidate_count,mpc_candidate_rejection_rate,mpc_mean_surrogate_improvement,mpc_verify_down_rate,mpc_verify_up_rate,mpc_atom_up_rate,mpc_mode_switch_rate,camc_gate_evaluation_rate,camc_activation_rate,camc_anchor_preservation_rate,camc_mean_certified_margin,camc_mean_activated_margin,camc_mean_rejected_margin,camc_candidate_rejection_rate,camc_post_switch_violation_rate,camc_mean_anchor_value,camc_mean_best_candidate_value,camc_reject_safety_rate,camc_reject_loss_rate,camc_reject_benefit_rate,camc_reject_violation_rate,mode_distribution,safety_augmented_cost_low,safety_augmented_cost_medium,safety_augmented_cost_high
rebench,plain_mpc,0,250,0.45443089807756737,0.108,0.004783179896475094,0.0,0.02,0.012,0.084,0.176,0.036,0.108,0.108,0.0,0.3653333333333328,0.328,0.0,0.016,0.01306013625,0.8741146607701249,4.618801750384191e-05,0.9383589411924416,0.5450592455886264,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.11363636363636363,-0.21232977210068563,0.9836734693877551,122.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'g0_aggressive': 43, 'g1_balanced': 34, 'g2_conservative': 34, 'g3_safe': 139}",0.6774308980775674,1.1234308980775674,1.7924308980775674
rebench,plain_mpc,1,250,0.4620884964271648,0.1,0.0024146870557105442,0.0,0.016,0.016,0.08,0.196,0.028,0.128,0.128,0.0,0.3973333333333335,0.38,0.0,0.004,0.00351,0.8900836329482424,0.0,0.8554851762342613,0.5593508756872582,0.0,0.0,1.0,0.21875,1.0,0.21875,1.0,1.0,0.08163265306122448,-0.22006081492542864,0.9715447154471545,82.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'g0_aggressive': 61, 'g2_conservative': 33, 'g3_safe': 114, 'g1_balanced': 42}",0.6870884964271649,1.1370884964271648,1.8120884964271649
smith,oracle_src,0,250,0.5747968278553894,0.18,0.0682266306847969,0.024,0.332,0.008,0.332,0.38,0.332,0.332,0.332,0.0,0.7759999999999994,0.916,0.42,0.02,0.020671600000000002,0.9160258107151296,0.0010811694751622631,0.07092921091921582,0.7778788251930482,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7951807228915663,0.6947368421052632,-0.1054039797760895,0.7844311377245509,4.175,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'g0_aggressive': 61, 'g3_safe': 176, 'g2_conservative': 8, 'g1_balanced': 5}",0.7977968278553895,1.2377968278553895,1.9247968278553893
smith,oracle_src,1,250,0.5775936896526208,0.156,0.07665583969001276,0.032,0.3,0.012,0.3,0.328,0.3,0.3,0.3,0.0,0.7919999999999988,0.944,0.448,0.016,0.017297655000000002,0.9324610091849563,0.0013685117739065638,0.059366665660759675,0.7872929037841438,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.6707317073170732,-0.10332713285790496,0.7485714285714286,5.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'g0_aggressive': 45, 'g3_safe': 186, 'g1_balanced': 7, 'g2_conservative': 12}",0.8125936896526208,1.2745936896526209,2.0035936896526207
smith,rsrc,0,250,0.616645382554828,0.276,0.06884319196630441,0.024,0.136,0.012,0.2,0.296,0.136,0.2,0.2,0.864,0.9559999999999995,0.976,0.896,0.0,0.0,0.9571219484639342,0.0010828240746341403,0.007637030784,0.7442877785354727,0.0,0.0,1.0,0.68,1.0,0.68,1.0,0.8529411764705882,0.3918918918918919,-0.14959299885793323,0.8379629629629629,10.8,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'g3_safe': 224, 'g0_aggressive': 19, 'g1_balanced': 1, 'g2_conservative': 6}",0.815645382554828,1.2076453825548281,1.8226453825548279
smith,rsrc,1,250,0.6273637097431376,0.192,0.08060647976200275,0.036,0.068,0.008,0.124,0.184,0.068,0.124,0.124,0.932,0.9626666666666667,0.972,0.916,0.0,0.0,1.0018351233012603,0.0013797824931468387,0.007437024905993544,0.77472271165064,0.0,0.0,1.0,0.5483870967741935,1.0,0.5483870967741935,1.0,0.6470588235294118,0.2391304347826087,-0.14229887641562652,0.8111587982832618,16.642857142857142,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'g0_aggressive': 7, 'g3_safe': 237, 'g2_conservative': 5, 'g1_balanced': 1}",0.8563637097431376,1.3053637097431376,2.019363709743138
smith,se_mpc,0,250,0.616645382554828,0.276,0.06884319196630441,0.024,0.136,0.012,0.2,0.296,0.136,0.2,0.2,0.864,0.9559999999999995,0.976,0.896,0.0,0.0,0.9571219484639342,0.0010828240746341403,0.007637030784,0.7442877785354727,0.0,0.0,1.0,0.68,1.0,0.68,1.0,0.8529411764705882,0.3918918918918919,-0.14959299885793323,0.8379629629629629,10.8,20,0.0,0.0,0.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'g3_safe': 224, 'g0_aggressive': 19, 'g1_balanced': 1, 'g2_conservative': 6}",0.815645382554828,1.2076453825548281,1.8226453825548279
smith,se_mpc,1,250,0.6273637097431376,0.192,0.08060647976200275,0.036,0.068,0.008,0.124,0.184,0.068,0.124,0.124,0.932,0.9626666666666667,0.972,0.916,0.0,0.0,1.0018351233012603,0.0013797824931468387,0.007437024905993544,0.77472271165064,0.0,0.0,1.0,0.5483870967741935,1.0,0.5483870967741935,1.0,0.6470588235294118,0.2391304347826087,-0.14229887641562652,0.8111587982832618,16.642857142857142,14,0.0,0.0,0.932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'g0_aggressive': 7, 'g3_safe': 237, 'g2_conservative': 5, 'g1_balanced': 1}",0.8563637097431376,1.3053637097431376,2.019363709743138
smith,camc_static_anchor,0,250,0.6159111168055936,0.276,0.06857689463371686,0.024,0.148,0.012,0.228,0.332,0.148,0.228,0.228,0.852,0.9559999999999995,0.976,0.896,0.0,0.0,0.9491781542718838,0.0010787207177735117,0.0072373352960000015,0.7442790868917222,0.0,0.0,1.0,0.6491228070175439,1.0,0.6491228070175439,1.0,1.0,0.4457831325301205,-0.14835154496342753,0.8450704225352113,10.142857142857142,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.021070767186303147,0.0,-0.10580105782716552,0.11347517730496454,0.0,1.8955432166825905,0.22572421408174595,0.0,0.0,0.0,0.0,{'g3_safe': 250},0.8149111168055936,1.2069111168055935,1.8219111168055935
smith,camc_static_anchor,1,250,0.6267591520674731,0.192,0.08047945319685104,0.036,0.08,0.008,0.14,0.204,0.08,0.14,0.14,0.92,0.9626666666666667,0.972,0.916,0.0,0.0,0.9983473058820945,0.0013787837572522262,0.0072564827466390786,0.7747132631627226,0.0,0.0,1.0,0.5714285714285714,1.0,0.5714285714285714,1.0,0.8,0.3137254901960784,-0.1411865879848755,0.808695652173913,16.428571428571427,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-0.016802276280415942,0.0,-0.1545023124351673,0.05660377358490566,0.0,1.914537016877682,0.12844700639897563,0.0,0.0,0.0,0.0,{'g3_safe': 250},0.8557591520674732,1.304759152067473,2.0187591520674735
