dataset,controller,epsilon_s,load_threshold,rows,mean_drift,mean_drift_ci_low,mean_drift_ci_high,negative_drift_rate,negative_drift_rate_ci_low,negative_drift_rate_ci_high,mean_delta_sq,mean_delta_sq_ci_low,mean_delta_sq_ci_high,negative_delta_sq_rate,negative_delta_sq_rate_ci_low,negative_delta_sq_rate_ci_high,mean_certified_headroom,mean_exact_headroom
rebench,se_mpc,0.03,0.35,0,,,,,,,,,,,,,,
rebench,se_mpc,0.03,0.5,0,,,,,,,,,,,,,,
rebench,se_mpc,0.03,1.0,0,,,,,,,,,,,,,,
rebench,se_mpc,0.08,0.35,0,,,,,,,,,,,,,,
rebench,se_mpc,0.08,0.5,0,,,,,,,,,,,,,,
rebench,se_mpc,0.08,1.0,0,,,,,,,,,,,,,,
rebench,static_conservative,0.0,0.35,0,,,,,,,,,,,,,,
rebench,static_conservative,0.0,0.5,0,,,,,,,,,,,,,,
rebench,static_conservative,0.0,1.0,0,,,,,,,,,,,,,,
rebench,static_conservative,0.03,0.35,0,,,,,,,,,,,,,,
rebench,static_conservative,0.03,0.5,0,,,,,,,,,,,,,,
rebench,static_conservative,0.03,1.0,0,,,,,,,,,,,,,,
rebench,static_conservative,0.08,0.35,0,,,,,,,,,,,,,,
rebench,static_conservative,0.08,0.5,0,,,,,,,,,,,,,,
rebench,static_conservative,0.08,1.0,0,,,,,,,,,,,,,,
smith,camc_rsrc_anchor,0.0,0.35,28,-0.24433373430107228,-0.26065230796447253,-0.2257403461518545,1.0,1.0,1.0,-0.1805068062536097,-0.20208739231779874,-0.15844382123510903,1.0,1.0,1.0,0.06582060676400257,0.15966841414776226
smith,camc_rsrc_anchor,0.0,0.5,12,-0.24132331936474352,-0.2684361575139057,-0.20758903468723253,1.0,1.0,1.0,-0.2362432151522327,-0.26952738329540393,-0.20541611867287538,1.0,1.0,1.0,0.0549838335634715,0.15246365374087853
smith,camc_rsrc_anchor,0.0,1.0,0,,,,,,,,,,,,,,
smith,camc_rsrc_anchor,0.03,0.35,22,-0.25287965662593764,-0.26757647724100303,-0.23640204532126016,1.0,1.0,1.0,-0.18062826519215888,-0.21105888823838626,-0.1554947131194764,1.0,1.0,1.0,0.08069298567636284,0.16932824844917946
smith,camc_rsrc_anchor,0.03,0.5,8,-0.2612673172889559,-0.2835432676473961,-0.231945405523117,1.0,1.0,1.0,-0.2534361386038041,-0.2867110674938838,-0.2170659903183411,1.0,1.0,1.0,0.07793508403735257,0.1707277822320588
smith,camc_rsrc_anchor,0.03,1.0,0,,,,,,,,,,,,,,
smith,camc_rsrc_anchor,0.08,0.35,8,-0.2657500597670503,-0.2869532841103191,-0.2369230389401226,1.0,1.0,1.0,-0.17721572507509642,-0.220105528647597,-0.1399322818161729,1.0,1.0,1.0,0.11309980446437995,0.19380645470353441
smith,camc_rsrc_anchor,0.08,0.5,3,-0.2398158421937765,-0.27577896954017794,-0.17011537910600982,1.0,1.0,1.0,-0.2315390227599299,-0.31771545961402736,-0.16931689043708875,1.0,1.0,1.0,0.0918636780035947,0.1767369921494766
smith,camc_rsrc_anchor,0.08,1.0,0,,,,,,,,,,,,,,
smith,camc_sempc_candidate,0.0,0.35,28,-0.24433373430107228,-0.26065230796447253,-0.2257403461518545,1.0,1.0,1.0,-0.1805068062536097,-0.20208739231779874,-0.15844382123510903,1.0,1.0,1.0,0.06582060676400257,0.15966841414776226
smith,camc_sempc_candidate,0.0,0.5,12,-0.24132331936474352,-0.2684361575139057,-0.20758903468723253,1.0,1.0,1.0,-0.2362432151522327,-0.26952738329540393,-0.20541611867287538,1.0,1.0,1.0,0.0549838335634715,0.15246365374087853
smith,camc_sempc_candidate,0.0,1.0,0,,,,,,,,,,,,,,
smith,camc_sempc_candidate,0.03,0.35,22,-0.25287965662593764,-0.26757647724100303,-0.23640204532126016,1.0,1.0,1.0,-0.18062826519215888,-0.21105888823838626,-0.1554947131194764,1.0,1.0,1.0,0.08069298567636284,0.16932824844917946
smith,camc_sempc_candidate,0.03,0.5,8,-0.2612673172889559,-0.2835432676473961,-0.231945405523117,1.0,1.0,1.0,-0.2534361386038041,-0.2867110674938838,-0.2170659903183411,1.0,1.0,1.0,0.07793508403735257,0.1707277822320588
smith,camc_sempc_candidate,0.03,1.0,0,,,,,,,,,,,,,,
smith,camc_sempc_candidate,0.08,0.35,8,-0.2657500597670503,-0.2869532841103191,-0.2369230389401226,1.0,1.0,1.0,-0.17721572507509642,-0.220105528647597,-0.1399322818161729,1.0,1.0,1.0,0.11309980446437995,0.19380645470353441
smith,camc_sempc_candidate,0.08,0.5,3,-0.2398158421937765,-0.27577896954017794,-0.17011537910600982,1.0,1.0,1.0,-0.2315390227599299,-0.31771545961402736,-0.16931689043708875,1.0,1.0,1.0,0.0918636780035947,0.1767369921494766
smith,camc_sempc_candidate,0.08,1.0,0,,,,,,,,,,,,,,
