dataset,controller,seed,step,reference_shift,certified_margin,certified_slack,anchor_value,candidate_value,delta_loss,delta_benefit,delta_violation,gate_tau,activated,anchor_preserved,post_switch_violation,rejected_candidates,reject_safety,reject_loss,reject_benefit,reject_violation,candidate_count,safe_nonempty,fallback,L_before,drift,success,slack_quantile,shift_bucket
verified,camc_static_anchor,0,26,0.11279498249793252,,-0.033737618121709945,1.8023290926349038,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.37162213096046226,1.0,Q3,low
verified,camc_static_anchor,0,27,0.11279498249793252,-0.057636829460361416,0.04955051917368261,1.7504143568387185,1.424562253872717,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.41997574640529006,1.0,Q5,low
verified,camc_static_anchor,0,28,0.11279498249793252,-0.3823975600663138,0.03704686717466513,1.777668469017992,1.777668469017992,,,,,0.0,1.0,,0,0,0,0,0,1,1.0,0.0,0.0,-0.35426452185852164,0.0,Q4,low
verified,camc_static_anchor,0,29,0.11279498249793252,,0.018511671202990854,1.8003374794449745,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.33468735851065035,0.0,Q4,low
verified,camc_static_anchor,0,30,0.11279498249793252,,-0.02430839518022654,1.7926266876205241,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.34812708136034465,0.0,Q3,low
verified,camc_static_anchor,0,31,0.11279498249793252,,-0.07005235175108693,1.836261558775017,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.2964708319611078,0.0,Q2,low
verified,camc_static_anchor,0,32,0.11279498249793252,,-0.10376162764798935,1.8144502342632822,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3649426207440718,1.0,Q1,low
verified,camc_static_anchor,0,33,0.11279498249793252,-0.1609086624826781,0.007915881890349752,1.7423769584287887,1.5250051990220694,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.40487584640059454,0.0,Q4,low
verified,camc_static_anchor,0,34,0.11279498249793252,,-0.026460328712233472,1.8136573118561776,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3267131778711775,0.0,Q3,low
verified,camc_static_anchor,0,35,0.11279498249793252,,-0.07167725880254183,1.8266529121690185,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3488283685774914,1.0,Q2,low
verified,camc_static_anchor,0,36,0.11279498249793252,-0.15941811726595267,0.03170503328949159,1.7488850006338275,1.5326355466044521,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4245843027230326,1.0,Q4,low
verified,camc_static_anchor,0,37,0.11279498249793252,-0.038367931373751274,0.08256465270746438,1.6520215240799072,1.315710369439265,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4380290492107077,1.0,Q5,low
verified,camc_static_anchor,0,38,0.11279498249793252,-0.04515889903415593,0.08492833397776928,1.7010361496026,1.3723030601970456,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.43882182452739976,0.0,Q5,low
verified,camc_static_anchor,0,39,0.11279498249793252,-0.15391054700008278,0.039937605482065264,1.762503125025421,1.5431644465878034,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.31663041919512996,0.0,Q4,low
verified,camc_static_anchor,0,40,0.11279498249793252,-0.052716529702345194,0.07137435121576458,1.7253348344655646,1.4054408670108263,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.413700634964452,0.0,Q5,low
verified,camc_static_anchor,0,41,0.11279498249793252,-0.3721021615445955,0.07116262989052594,1.782302117631833,1.782302117631833,,,,,0.0,1.0,,0,0,0,0,0,1,1.0,0.0,0.0,-0.36613623849685356,0.0,Q5,low
verified,camc_static_anchor,0,42,0.11279498249793252,-0.2629982373395141,0.04181872322363489,1.7844146092941882,1.6759666635980497,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.3102562150591712,0.0,Q4,low
verified,camc_static_anchor,0,43,0.11279498249793252,-0.3709137761854564,0.0283737566530341,1.8053472297190274,1.8053472297190274,,,,,0.0,1.0,,0,0,0,0,0,1,1.0,0.0,0.0,-0.3366715814994081,0.0,Q4,low
verified,camc_static_anchor,0,44,0.11279498249793252,,-0.29483201099839595,2.027931738935222,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.05949401552117406,0.0,Q1,low
verified,camc_static_anchor,0,45,0.11279498249793252,,-0.07759506118438497,1.8418312706340314,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.29060202644858985,0.0,Q2,low
verified,camc_static_anchor,0,46,0.11279498249793252,,-0.10897073301938054,1.8500993560572219,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.2738251828825413,0.0,Q1,low
verified,camc_static_anchor,0,47,0.11279498249793252,,-0.1322954025809726,1.8042961672535622,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3629341779826248,1.0,Q1,low
verified,camc_static_anchor,0,48,0.11279498249793252,,-0.0925096061319465,1.8670397585013283,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.2320746335303952,0.0,Q2,low
verified,camc_static_anchor,0,49,0.11279498249793252,,-0.08450486415809966,1.8053242030588244,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3583300818812503,1.0,Q2,low
verified,camc_static_anchor,0,50,0.11279498249793252,,-0.008098507050135817,1.7814540790648177,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3393455796084892,0.0,Q3,low
verified,camc_static_anchor,0,51,0.11279498249793252,,-0.011025974218876189,1.7642101265095038,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3665272789323978,0.0,Q3,low
verified,camc_static_anchor,0,52,0.11279498249793252,,-0.0056663050106825485,1.763863683930546,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.37940221804223223,0.0,Q3,low
verified,camc_static_anchor,0,53,0.11279498249793252,,-0.0035698579111421713,1.783898306234758,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3607557821451231,0.0,Q3,low
verified,camc_static_anchor,0,54,0.11279498249793252,,-0.0031888920839000523,1.7738538351276099,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.37552550773116444,0.0,Q3,low
verified,camc_static_anchor,0,55,0.11279498249793252,-0.1546338607499781,0.026508337744056698,1.7499010283193221,1.54048955679968,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4214828376448055,0.0,Q4,low
verified,camc_static_anchor,0,56,0.11279498249793252,,-0.0491461798113568,1.8788298900216065,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.24246672664865276,0.0,Q2,low
verified,camc_static_anchor,0,57,0.11279498249793252,,-0.0717320151899441,1.8472378678433616,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.2798671039606532,0.0,Q2,low
verified,camc_static_anchor,0,58,0.11279498249793252,,-0.009886810104108634,1.7531622256906478,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.39902103884321416,0.0,Q3,low
verified,camc_static_anchor,0,59,0.11279498249793252,,-0.006218358183237682,1.8117701899486602,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.26488790854940275,0.0,Q3,low
verified,camc_static_anchor,0,60,0.11279498249793252,,-0.012946841441593193,1.7982844939373634,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.33116110375711966,0.0,Q3,low
verified,camc_static_anchor,0,61,0.11279498249793252,,-0.016889317425927475,1.8213219497994693,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.30638777212584417,0.0,Q3,low
verified,camc_static_anchor,0,62,0.11279498249793252,,-0.06670787310225079,1.8269811355215626,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.32856040689253735,1.0,Q2,low
verified,camc_static_anchor,0,63,0.11279498249793252,-0.3596947288649849,0.005827244032548973,1.774513298727059,1.774513298727059,,,,,0.0,1.0,,0,0,0,0,0,1,1.0,0.0,0.0,-0.3506908544942342,0.0,Q3,low
verified,camc_static_anchor,0,64,0.11279498249793252,,-0.04757259920534662,1.8027471300650524,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3168598437625532,0.0,Q2,low
verified,camc_static_anchor,0,65,0.11279498249793252,-0.3594795674953447,0.007160997828764559,1.729872920783442,1.729872920783442,,,,,0.0,1.0,,0,0,0,0,0,1,1.0,0.0,0.0,-0.3574575009313062,0.0,Q4,low
verified,camc_static_anchor,0,66,0.11279498249793252,,0.0049562687400391825,1.8144534377301456,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.34500626234532106,1.0,Q3,low
verified,camc_static_anchor,0,67,0.11279498249793252,-0.03281054904484676,0.09878801531746598,1.5938494044350888,1.2688137610162717,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.46722810404888593,0.0,Q5,low
verified,camc_static_anchor,0,68,0.11279498249793252,,0.023269915449217193,1.8237576543972656,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.31656272576356154,0.0,Q4,low
verified,camc_static_anchor,0,69,0.11279498249793252,,0.02673821595539097,1.8241978714581866,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.26432333271804315,0.0,Q4,low
verified,camc_static_anchor,0,70,0.11279498249793252,,0.030366121415418904,1.8324038620874508,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.30166502972327236,0.0,Q4,low
verified,camc_static_anchor,0,71,0.11279498249793252,,-0.03991419679455256,1.881569556125082,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.22111991116001395,0.0,Q2,low
verified,camc_static_anchor,0,72,0.11279498249793252,,-0.07220481776251186,1.8040207582985885,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.35183493380203873,1.0,Q2,low
verified,camc_static_anchor,0,73,0.11279498249793252,-0.03750509570540883,0.07052128838300153,1.7015750867392974,1.3834852240469078,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4366763612877755,0.0,Q5,low
verified,camc_static_anchor,0,74,0.11279498249793252,-0.025801871227560946,0.06277072991814159,1.592559914957188,1.26300780282102,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4034469697488447,1.0,Q5,low
verified,camc_static_anchor,0,75,0.11279498249793252,-0.0276993244956254,0.1125556806238311,1.6718583655940191,1.3449164334116699,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.42893348095992384,0.0,Q5,low
verified,camc_static_anchor,0,76,0.11279498249793252,-0.03669562851102404,0.044043943799281365,1.753624266797457,1.4359576939287775,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.38697787039119474,0.0,Q4,low
verified,camc_static_anchor,0,77,0.11279498249793252,,-0.022021442220577253,1.845140067598397,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.2755666153408246,0.0,Q3,low
verified,camc_static_anchor,0,78,0.11279498249793252,-0.24705989706628134,0.019077603183818126,1.7738056276088272,1.6669623359836716,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.3655555816516268,0.0,Q4,low
verified,camc_static_anchor,0,79,0.11279498249793252,-0.14260382984009456,0.006299100560676174,1.7645578144800684,1.5535471414254414,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.38016304269452383,0.0,Q4,low
verified,camc_static_anchor,0,80,0.11279498249793252,,-0.02944559174801764,1.8217431993568474,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.309577898281836,0.0,Q3,low
verified,camc_static_anchor,0,81,0.11279498249793252,,-0.07301261838693485,1.80876189025397,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.31729390700292776,0.0,Q2,low
verified,camc_static_anchor,0,82,0.11279498249793252,,-0.10591928057228261,1.8209265983289933,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.2974570380298089,0.0,Q1,low
verified,camc_static_anchor,0,83,0.11279498249793252,,-0.08286393336578457,1.7770794964102399,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3492068456327583,0.0,Q2,low
verified,camc_static_anchor,0,84,0.11279498249793252,,-0.05792501103495484,1.753998757136505,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3724520118500817,0.0,Q2,low
verified,camc_static_anchor,0,85,0.11279498249793252,,-0.04228474968714646,1.764916523042124,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.37254476946871523,0.0,Q2,low
verified,camc_static_anchor,0,86,0.11279498249793252,,-0.07912899848159083,1.8100647527050115,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.30837541785613676,0.0,Q2,low
verified,camc_static_anchor,0,87,0.11279498249793252,,-0.06260486547189181,1.7746297375934008,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3525043143792354,0.0,Q2,low
verified,camc_static_anchor,0,88,0.11279498249793252,,-0.04350087450796247,1.7672971127344221,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.36938540482656235,0.0,Q2,low
verified,camc_static_anchor,0,89,0.11279498249793252,,-0.03133559824087018,1.7839046677557964,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3459063194501396,0.0,Q3,low
verified,camc_static_anchor,0,90,0.11279498249793252,,-0.006227948961996188,1.5773337587585623,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.40245690673174683,1.0,Q3,low
verified,camc_static_anchor,0,91,0.11279498249793252,-0.24088002336558567,0.0382630690068434,1.7821228876563546,1.673584658637795,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.34116510297887037,0.0,Q4,low
verified,camc_static_anchor,0,92,0.11279498249793252,,-0.01734720419129565,1.7749080902421677,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.35665047460130855,0.0,Q3,low
verified,camc_static_anchor,0,93,0.11279498249793252,,-0.017628293803948814,1.7525386665317881,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.38585999405907967,0.0,Q3,low
verified,camc_static_anchor,0,94,0.11279498249793252,,-0.010769352801589749,1.7722220129605868,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3607173038353772,0.0,Q3,low
verified,camc_static_anchor,0,95,0.11279498249793252,,-0.05423454960538543,1.7929658018469625,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.36580038054929437,1.0,Q2,low
verified,camc_static_anchor,0,96,0.11279498249793252,-0.030476530721866846,0.036538980975810764,1.7315951059989676,1.414027660305303,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4249874451790138,1.0,Q4,low
verified,camc_static_anchor,0,97,0.11279498249793252,-0.023264719447592563,0.045734311373878234,1.7487765333881706,1.4243998933394333,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4013575596147777,1.0,Q4,low
verified,camc_static_anchor,0,98,0.11279498249793252,-0.01420063499226304,0.13606642344321207,1.581627990833706,1.2484883201315669,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.48957974259472914,0.0,Q5,low
verified,camc_static_anchor,0,99,0.11279498249793252,,-0.2479924535532813,1.9714282128713265,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.1511520020582563,1.0,Q1,low
verified,camc_static_anchor,0,100,0.11279498249793252,-0.01966815276330436,0.04653228033790975,1.7430144991639664,1.4159203251922194,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.39493944675392884,1.0,Q4,low
verified,camc_static_anchor,0,101,0.11279498249793252,-0.006896973287595476,0.12686561610250593,1.5928410681536993,1.2532478572349774,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.41459626652010195,0.0,Q5,low
verified,camc_static_anchor,0,102,0.11279498249793252,-0.016591804026699908,0.108780558814222,1.6526352258319326,1.322879695830713,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.41806208419800966,0.0,Q5,low
verified,camc_static_anchor,0,103,0.11279498249793252,-0.024613598876061293,0.07351003522555044,1.7186173030574092,1.397059188685691,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4057570125755892,0.0,Q5,low
verified,camc_static_anchor,0,104,0.11279498249793252,-0.029801136809266215,0.09789213098366711,1.6828247371993499,1.3666420096429623,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4674448029310728,1.0,Q5,low
verified,camc_static_anchor,0,105,0.11279498249793252,-0.022992831862037766,0.04566398059185989,1.752999037196764,1.4303998432336615,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.3994886968196786,1.0,Q4,low
verified,camc_static_anchor,0,106,0.11279498249793252,-0.012982911318417445,0.09966733529274749,1.7146307126100153,1.3823769310178444,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.43164724922455777,1.0,Q5,low
verified,camc_static_anchor,0,107,0.11279498249793252,-0.007628490030468005,0.1793017174490009,1.5197870827815387,1.1824333396883815,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4706145133371364,0.0,Q5,low
verified,camc_static_anchor,0,108,0.11279498249793252,-0.013540784800256278,0.12548717121844638,1.6179028690649078,1.286592556280971,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4516060465597115,1.0,Q5,low
verified,camc_static_anchor,0,109,0.11279498249793252,-0.016023687814944565,0.11808921016837778,1.6833804021588004,1.3549140072685726,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.46167597659666787,1.0,Q5,low
verified,camc_static_anchor,0,110,0.11279498249793252,-0.006971889155707456,0.16584947572989872,1.5411289293328319,1.2039041080838646,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4609835181799965,0.0,Q5,low
verified,camc_static_anchor,0,111,0.11279498249793252,-0.12614355667158939,0.052728177622877764,1.748668478618063,1.5307203398895874,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.3552740353529499,0.0,Q5,low
verified,camc_static_anchor,0,112,0.11279498249793252,-0.021433166980689755,0.08530388391071254,1.717502718294497,1.3950074661513472,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.40273316515503743,0.0,Q5,low
verified,camc_static_anchor,0,113,0.11279498249793252,-0.12742105459637115,0.02719818084873149,1.7639162341911716,1.547559679926615,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.2980876426214107,0.0,Q4,low
verified,camc_static_anchor,0,114,0.11279498249793252,-0.010669302222715171,0.02261284691061216,1.529001390456046,1.1958737387338112,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.36021483673073823,0.0,Q4,low
verified,camc_static_anchor,0,115,0.11279498249793252,,-0.04911450341080573,1.8662027441893823,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.2624889565717736,1.0,Q2,low
verified,camc_static_anchor,0,116,0.11279498249793252,-0.23423907788445003,0.027433292647871532,1.7791060173509308,1.6702724253510894,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.32494560495128255,0.0,Q4,low
verified,camc_static_anchor,0,117,0.11279498249793252,-0.023533544836035092,0.05053878772247389,1.636172517455899,1.316527706262087,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.4277698439978726,0.0,Q5,low
verified,camc_static_anchor,0,118,0.11279498249793252,,0.004482122801946931,1.8154875340367849,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.2927251710114943,0.0,Q3,low
verified,camc_static_anchor,0,119,0.11279498249793252,,-0.002746023490684313,1.76545684572679,,,,,,0.0,1.0,,0,0,0,0,0,1,0.0,1.0,0.0,-0.3902590757280552,1.0,Q3,low
verified,camc_static_anchor,0,120,0.11279498249793252,-0.013844235756687917,0.0801837823483871,1.6295604110600188,1.3012232133027737,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.3435558921895741,1.0,Q5,low
verified,camc_static_anchor,0,121,0.11279498249793252,-0.017784855156490254,0.045475916767649116,1.7622801488581443,1.43818951416248,,,,,0.0,1.0,,1,0,0,0,0,2,1.0,0.0,0.0,-0.3424284069403247,0.0,Q4,low
